czone,year,dem_votes,rep_votes,turnout,dem_share,rep_share,population,mean_age,share_age_18_34,share_age_65_plus,share_college,share_no_hs,median_wage,mean_wage,share_white,share_black,share_hispanic
2400,2016,331172.0,272434.0,639590,0.548655911306382,0.45134408869361803,3732958.9073950425,38.526755584262894,0.2347565425728584,0.14290347817116064,0.25117258668513687,0.2925144759242762,34100.0,45993.96874574986,0.6148777834132635,0.2999232688810904,0.05823062093874691
2500,2012,165258.0,135857.0,305477,0.548820218189064,0.45117978181093604,581452.0116428208,37.56713565634094,0.23757315208258173,0.13866710107796848,0.17686533583439484,0.321208878669024,29000.0,38167.700329684296,0.7365423334394265,0.18666605057430574,0.07985425094500298
2500,2016,151183.0,131292.0,299363,0.5352084255243826,0.4647915744756173,1816488.5387014756,38.739857932764025,0.250921197232405,0.15979100161953,0.21237967608399988,0.27757797665412176,32000.0,39814.553940686055,0.5854250145015208,0.33096098018004344,0.06083039321624877
2700,2012,53388.0,124057.0,179684,0.3008706923272,0.6991293076728,633146.0765410746,38.229094278870285,0.22407849835611504,0.15025557780972243,0.14601312374952397,0.34710768337091785,25718.0,35051.314366335406,0.7194383375396532,0.23602737442367822,0.0887072579890457
2700,2016,46348.0,123913.0,174705,0.2722173604054951,0.727782639594505,1497170.1771926628,38.15533793737132,0.22287045452543183,0.14914610891452432,0.13782741864402517,0.3298924598221814,27000.0,35772.7900994333,0.7399164266893051,0.2026034072307299,0.047611138610624486
2700,2020,57741.0,139315.0,200040,0.2930182283208834,0.7069817716791166,507877.2024446735,38.94664689023118,0.2191416322805588,0.16339857173139335,0.15081061333460483,0.30904824467470277,30623.0,40381.07329490924,0.7307031520063807,0.2010976427732652,0.05104541345241339
3300,2012,267092.0,270798.0,548684,0.49655505772555725,0.5034449422744427,1317028.0233260784,36.96283899390485,0.23847039437850728,0.12150467966968741,0.197609512595806,0.3375722600269271,30000.0,40764.9883417436,0.7159430247533235,0.198231471727868,0.1261762422430259
3300,2016,277020.0,274944.0,575879,0.5018805574276584,0.4981194425723417,3929679.4173347456,38.193668349379834,0.23832378440317098,0.14079964698948289,0.20481068073216677,0.31864259476833756,33000.0,44028.1911421758,0.5838856657338839,0.3465696805550414,0.08434766748534635
3300,2020,315504.0,295902.0,622378,0.516030264668649,0.483969735331351,1322099.8990061404,39.06329973154413,0.22759053563254747,0.15852089219627688,0.22122449646686207,0.3079681209146405,36958.0,48431.469607456,0.5648258590114159,0.34824856480969074,0.08683041863539344
3400,2012,35901.0,78063.0,116048,0.3150205327998315,0.6849794672001684,195504.17378628254,37.3759004104276,0.23055409044373856,0.13046049515098282,0.10430312531206046,0.4052406703779471,30000.0,39189.96614752274,0.722758899412902,0.2221487088427908,0.03733473377746448
3400,2016,31069.0,84934.0,119322,0.2678292802772342,0.7321707197227658,872099.4563080072,37.26768914432154,0.23109481200004925,0.13751613329106352,0.09844471614762573,0.4058894918825012,31000.0,40158.547551307835,0.7165070362625264,0.208442397901688,0.04516817818798001
3400,2020,31758.0,92445.0,126049,0.2556943069007995,0.7443056930992005,285844.8308080435,38.297600510774956,0.2213786073125192,0.15373860106872916,0.10900518685442265,0.38229562124275773,35000.0,44479.27355962544,0.7096509679651641,0.20293217124014912,0.04635931967662501
3500,2012,175723.0,235175.0,417720,0.42765601195430497,0.5723439880456951,834653.9754056521,35.56415957948925,0.2650185755839803,0.1107176559828194,0.18344576188647627,0.34173906956466643,30000.0,38167.93754255396,0.6588430516170001,0.2926693021296697,0.061291690273791735
3500,2016,171439.0,236078.0,423636,0.4206916521273959,0.5793083478726041,2866620.5757293925,36.640473183169796,0.2585800634129199,0.12968529104387325,0.17640237758426794,0.3308832558956627,32000.0,42751.721239747036,0.6051733959876746,0.3485589512794429,0.03690537455811775
3500,2020,193433.0,257511.0,459520,0.4289512666761283,0.5710487333238717,964327.0983945057,37.185050925559835,0.2525798312998896,0.1423277890064002,0.19054853520274279,0.31831872978093145,36079.0,47654.47804551359,0.5933181665309595,0.3459807452846875,0.041152542413219195
3800,2012,90600.0,172034.0,266711,0.34496675982546054,0.6550332401745395,513452.826428622,36.276681176224685,0.2390574301103444,0.11863101275651783,0.1309493305537873,0.39060990060322914,28000.0,39536.689480578374,0.6707697384481506,0.2900558593351936,0.028950865628219337
3800,2016,83602.0,179527.0,271687,0.317722485928955,0.682277514071045,1810275.554138124,36.7677549266616,0.237191704080369,0.13201429768248904,0.13529399970071282,0.3825610943416406,30000.0,41498.15381913388,0.6817451667631311,0.27793310286725514,0.03317884778906756
3800,2020,91133.0,190723.0,286587,0.3233317722524977,0.6766682277475022,602499.1728087366,37.6105462271685,0.2306228403271038,0.14639458436215444,0.1487361910216419,0.3615735647171185,32360.0,44701.10805784144,0.6754381741186251,0.2704217640845294,0.03936010105745069
3901,2012,42932.0,70880.0,115235,0.3772185709766984,0.6227814290233016,255780.7963218689,37.08382018424639,0.23401815179321847,0.13883391534558007,0.11756570531421984,0.3855993097024915,25000.0,34096.200838030054,0.607980935097122,0.36801863164735626,0.018662464116334647
3901,2016,38725.0,72831.0,114214,0.34713507117501524,0.6528649288249848,764984.9392052889,37.58253444647593,0.23207051356812972,0.15009393292733295,0.13428689091133017,0.3716932598403917,26000.0,35392.02700911843,0.6020070067335936,0.37581523666068517,0.020434519687491704
3901,2020,40141.0,74725.0,116363,0.34945937004857835,0.6505406299514217,250229.9464865923,38.30351840338219,0.22624250239032506,0.16278107364325117,0.1438936473341081,0.3483563814157418,30000.0,42690.12080584679,0.5939842531495138,0.3736902797129657,0.022001962615316676
4002,2012,100052.0,125050.0,227794,0.4444740606480618,0.5555259393519383,510476.788560309,37.133012428926456,0.24765397142092488,0.135760521812892,0.16387270569986637,0.34699530783476873,26551.0,36084.22367461091,0.6059495662213192,0.3410271125644974,0.05627978006432246
4002,2016,92477.0,122790.0,221766,0.4295920879651781,0.5704079120348219,1578152.7327378015,37.75646867293385,0.24087728702549702,0.1512285665682455,0.15568230609490827,0.3324907187358258,28800.0,38268.000212175284,0.562468501857768,0.3905630565704307,0.03553786992236103
4002,2020,96739.0,126469.0,226835,0.4334029246263575,0.5665970753736426,516466.1672972026,38.44434676026822,0.23445601613376235,0.16501869163127192,0.15952430973794887,0.3180971059466466,28933.0,42486.888817295876,0.5529036303026145,0.39329180428200666,0.03690797846273686
4200,2012,125023.0,158473.0,290164,0.44100445861670007,0.5589955413833,17678.912,37.3860468336513,0.21333620530494188,0.12802326297002892,0.15114007015816358,0.38440057849713827,28593.0,36267.49006451613,0.7185288325435412,0.2426918579604899,0.044025786202227836
4200,2016,128201.0,160006.0,306181,0.44482264483513584,0.5551773551648641,2256224.383783734,37.42993916163646,0.2419632864879688,0.14138958684669542,0.20506419046536187,0.30506203041006463,29000.0,41282.418629684485,0.7111418353623877,0.23389374887791362,0.053584071258164424
5202,2012,285897.0,223257.0,513586,0.5615138052534204,0.4384861947465796,1282515.9526306996,36.55627300926506,0.22150934897464428,0.11812240044060027,0.20047333945419138,0.33782738228575937,30000.0,42538.72131137005,0.639070339112782,0.27484401971204775,0.09356621500831842
5202,2016,255858.0,204333.0,475986,0.5559821900037158,0.44401780999628415,3834463.5627909037,36.56821949887269,0.23578243036726526,0.1245191293345037,0.1855142660189894,0.33641943549016423,30000.0,41530.9067169655,0.47197079224139615,0.46274910148455445,0.0550595769867098
5202,2020,303054.0,229236.0,540943,0.5693400214168968,0.4306599785831032,1285438.742961109,37.22833406245109,0.23410832272910323,0.13824527493458424,0.1988207916805974,0.32176635844215473,32500.0,47065.73317367186,0.4577205620961773,0.47119892044553785,0.05758388118564836
5401,2012,26106.0,46054.0,73274,0.3617793791574279,0.638220620842572,188512.97180506587,37.72187455693824,0.23889347377159906,0.14213911464146395,0.11450683639643837,0.3621196866439482,22466.0,30323.019781762603,0.8970717974205701,0.06071513866818143,0.031740655029683595
5401,2016,24193.0,52129.0,80224,0.316985928041718,0.683014071958282,588943.1076935232,37.463562355574254,0.25424303683770244,0.14471861199615124,0.15604831854921167,0.3334245276243271,25000.0,32520.97808273037,0.8606766414405042,0.07010493028567653,0.0391140663592216
5500,2012,23455.0,42330.0,66842,0.3565402447366421,0.6434597552633579,176210.5218308717,39.44074110685696,0.1948940223907737,0.15958471818313474,0.09382726038717086,0.3821239557227303,26551.0,31281.842999558485,0.8767696141889398,0.09374554973272416,0.03567537087029986
5500,2016,18521.0,49233.0,70396,0.2733565545945627,0.7266434454054373,558739.9551572502,38.91232985878621,0.2040669112116927,0.1595380764560686,0.11040603136206589,0.34132427255698505,30000.0,35570.02770755815,0.8743289777637865,0.0809152168584809,0.05471316394884916
5500,2020,24523.0,64342.0,90179,0.275957913689304,0.724042086310696,194759.97809623182,39.39948850144224,0.20793666526884846,0.16742056276379766,0.13109417183903294,0.32236753527429046,33791.0,40124.51838830028,0.8699362153820082,0.07666241486534603,0.061174001605610755
5600,2012,257725.0,353017.0,620152,0.4219866981474993,0.5780133018525008,1585421.5189947905,36.42946262930268,0.2422509556345296,0.11701415469157841,0.20055338025890018,0.3299874972522357,30000.0,40769.3120063598,0.7794542801570158,0.13281297398951444,0.10208350001511558
5600,2016,264478.0,355386.0,657465,0.4266710117057935,0.5733289882942064,4990442.550058621,36.80893332541408,0.2462712775565273,0.1223207154451411,0.249943405519817,0.3047141635023323,32000.0,45284.37657093233,0.7706194887054232,0.15941134530838963,0.07206994610282268
5600,2020,378727.0,444249.0,842582,0.46019203476164555,0.5398079652383545,1752188.3754434597,37.21880768480339,0.24956268370007853,0.13132552908975523,0.2747420291192351,0.28994850272121125,36958.0,52349.48337772378,0.755508518125555,0.15670717639194967,0.07629242678770229
5900,2012,39738.0,56029.0,97141,0.4149446051353807,0.5850553948646193,291346.82022527605,33.80082655489402,0.2859932025233589,0.10168283013779399,0.12442167479422146,0.33937564379178864,25530.0,32569.50200231764,0.7528898510827857,0.17128891557092954,0.06976572969776801
5900,2016,33604.0,61038.0,99700,0.35506434775258344,0.6449356522474166,935565.8727548411,34.46636460165708,0.29112192309379803,0.11322252745518467,0.13940175655013598,0.3277429676949904,26200.0,33614.78442486675,0.7535115029718189,0.17852126290710912,0.07659771891535469
5900,2020,34575.0,49855.0,86740,0.40951083738007815,0.5904891626199218,322068.9710556986,34.900748777416794,0.28406803098843453,0.12121957855186787,0.16177898402987928,0.31566254283346207,30203.0,38934.20441846288,0.7355819877565585,0.1742201987133106,0.0843226788982377
6000,2012,93642.0,170247.0,267221,0.3548537453247388,0.6451462546752612,176192.82417478657,38.35892226924724,0.21975205981070875,0.14899390001846394,0.1417064068186761,0.3552903834291398,28441.0,35759.696854434806,0.7226338345850879,0.22452392253152156,0.051007162440571976
6000,2016,89725.0,177304.0,282504,0.33601219343217403,0.663987806567826,1889998.8369366708,38.816014232764324,0.2233575808628456,0.1485036520573041,0.2097814425241702,0.32013139302046506,30000.0,43048.8169799825,0.7472787552148089,0.18987962710876063,0.05689035655640436
6000,2020,120673.0,201687.0,329363,0.3743423501675146,0.6256576498324854,647919.5539893322,39.31519191834698,0.22235668561487157,0.15895215686386024,0.2360198553158296,0.30371844961717914,34847.0,48843.4865544188,0.727289317532816,0.18933276636700652,0.05972307995731452
6100,2016,22654.0,99663.0,126290,0.18520728925660374,0.8147927107433962,950104.1500443518,39.950080342851976,0.19340228036395676,0.17420292252535735,0.10718688740743575,0.36521574600556406,26550.0,33920.71197958937,0.8730631636359537,0.06776847422538912,0.06916599298357853
6100,2020,25508.0,113156.0,140375,0.1839554606819362,0.8160445393180638,318202.60686445236,40.317088886309705,0.1974885067420303,0.18518074049711503,0.1242695428321869,0.34449991881938313,30925.0,38025.359282269936,0.8622117150366551,0.06864857529566498,0.07299572462797753
6401,2012,77971.0,130838.0,212563,0.37340823431940195,0.626591765680598,401208.86160359613,38.39198906499236,0.23108772452542495,0.15074346962142587,0.19577004171804452,0.32815606388818797,29494.0,41639.148650930925,0.7758677238764355,0.13537276284973157,0.11018841371415528
6401,2016,70151.0,139383.0,220682,0.3347953076827627,0.6652046923172373,1685864.4115247382,39.69864535598047,0.22254414194895528,0.16735513984695868,0.1797837666191217,0.317016625571894,30000.0,39155.295482962734,0.8173519990548339,0.1354706890533946,0.04294859490664497
6401,2020,80985.0,112676.0,197476,0.41817918940829596,0.5818208105917041,575693.8791949518,40.238203463707464,0.22239006014859966,0.17815077101803126,0.20234203985769805,0.29675263529514206,32986.0,45833.04852686226,0.8078004888031572,0.1293753698435062,0.04785063495623181
6600,2016,36316.0,127523.0,169433,0.22165662632218214,0.7783433736778178,1537210.0506099237,37.81262753437019,0.2147865951871381,0.14675450516950347,0.12290755036252378,0.38640377150349103,30000.0,36036.23472839427,0.8364471633938589,0.09956093407677936,0.13287647045630555
6600,2020,1624.0,10583.0,12301,0.1330384205783567,0.8669615794216433,527012.8041331898,38.53104603817542,0.21336808031782495,0.1568213048407556,0.1333611126130535,0.36381625189238914,32360.0,41077.44991052899,0.8299730304653684,0.092659449624348,0.1401656019442509
6700,2012,661664.0,620809.0,1297044,0.5159282105744136,0.4840717894255864,2070125.0,36.14363480466155,0.2520427510416038,0.11745136163275165,0.20620493931525874,0.36367417426483906,30635.0,45605.25271135996,0.6217001388805024,0.06218223537226013,0.3819445685647002
6700,2016,663534.0,707142.0,1424998,0.48409252077077297,0.5159074792292271,8921312.9197926,41.206071348644045,0.20953639770552102,0.18985244900261944,0.21197943070037673,0.27816022991543427,32000.0,43066.30050539907,0.7822562181447419,0.11975930122865977,0.1820715548494948
6700,2020,810409.0,853640.0,1682670,0.48701029837462717,0.5129897016253728,3153008.066314313,41.6389817683383,0.21048702330346972,0.19755666398637975,0.23316252224322148,0.2631050846561569,36449.0,49365.15432158973,0.7530751100374478,0.12188616370528209,0.1998970848986079
6800,2012,133233.0,162188.0,298353,0.4509936666655383,0.5490063333344617,533085.507,36.04271382301902,0.2485350816337237,0.11837529284021597,0.20610809252407608,0.36428791338347155,30635.0,46470.04132401553,0.6344252724169446,0.056633912577930955,0.37790048942373516
6800,2016,134519.0,192237.0,337583,0.41168027519005007,0.58831972480995,2331673.994571328,40.69998970842503,0.2083302259697114,0.2055132821866684,0.13448073047943948,0.34088347585703527,28000.0,34338.54522378104,0.7869347853617055,0.14591257135698749,0.21678215590193117
6800,2020,164285.0,235581.0,403911,0.41085013479515636,0.5891498652048436,837867.510848403,41.059725837999196,0.21106282176800903,0.21281616639366188,0.14044175717379814,0.32101050262631997,30925.0,38668.44914520314,0.7426741170388378,0.14344393969037741,0.24514196750060502
6900,2012,201702.0,249714.0,455518,0.4468206709553937,0.5531793290446063,648182.778,36.24378013789191,0.2525748701703395,0.1177038060705772,0.2034578323831986,0.3609530782689201,30635.0,45366.827534743505,0.6339739066624817,0.06368311748017472,0.37404199591368964
6900,2016,206320.0,293378.0,515213,0.4128893851886539,0.5871106148113461,2933725.4414362013,48.073220683297826,0.15227567506267037,0.3176454530708643,0.22872541874799618,0.23097064937801007,30000.0,39997.57676042634,0.8841119660464156,0.06773235421176316,0.11804536849418404
6900,2020,256808.0,354913.0,616532,0.419812300051821,0.580187699948179,1044469.2615145892,48.97915051405745,0.15086297210558575,0.3350916527685023,0.24586856176767086,0.21905733679648093,32360.0,46615.28217111639,0.8669649479491828,0.06410409250591768,0.12414941046943578
7000,2012,527716.0,263335.0,795479,0.6671074304943676,0.3328925695056324,2755520.0,36.28008760596911,0.24676032110091742,0.11657218964115666,0.20367153931018464,0.36136809023342237,30635.0,45388.695546176845,0.6298851033561723,0.060430336197886424,0.3774637817907328
7000,2016,572291.0,282855.0,874429,0.6692319206310969,0.33076807936890307,13978603.97657148,39.61654275771414,0.22547623495230076,0.15742029750653314,0.21122330969860867,0.3116768309922371,30000.0,42328.132339948745,0.7004385418985402,0.22107186059041445,0.5041817480078765
7000,2020,640633.0,359102.0,1005701,0.6408028127453775,0.35919718725462246,4722832.991865763,40.10756510376269,0.22033216074650006,0.16550934581759952,0.23196818528133586,0.29840542722060054,35048.0,48110.59044937373,0.6252058882784343,0.21610080183168864,0.5183797521846157
7100,2012,456837.0,366810.0,829119,0.554651446554167,0.44534855344583296,1324520.345,36.33383604537989,0.2535618711088956,0.11673863869565554,0.2075103663281216,0.3570574282118709,30635.0,45801.95803651715,0.6338726205070108,0.05767557160475328,0.3807105809310917
7100,2016,481584.0,414442.0,918092,0.5374665467296708,0.4625334532703292,5920019.1180240335,43.54981682794417,0.18990140416573037,0.2371024679177946,0.233344436744757,0.2819084185980865,31200.0,43913.398222253934,0.7592561133449175,0.1703167732966622,0.2009025378590654
7100,2020,565306.0,505868.0,1078140,0.5277443253850448,0.47225567461495516,2065458.6511686798,44.12213132053041,0.1890314383479516,0.24787466438445765,0.25555224415585776,0.2671229771839208,36079.0,50390.43842791161,0.7167309209904021,0.17400757732448147,0.21446550511844534
7200,2012,161855.0,250683.0,415278,0.39233961477488133,0.6076603852251187,613245.0,36.42838995833639,0.2562303810059601,0.11591452029776028,0.212288726365482,0.3491655048145521,30635.0,45796.7429891967,0.6345294295102284,0.05919983041035801,0.37646128382620325
7200,2016,185993.0,296974.0,497209,0.38510498646905483,0.6148950135309452,3175167.9721244383,45.39756122903135,0.17517939260301318,0.2796938600770443,0.2294357317178193,0.28000943697747777,30000.0,39592.479967025516,0.8588351851292306,0.07986317656143874,0.22301497247824292
7200,2020,235316.0,362197.0,601717,0.39382574102990225,0.6061742589700977,1136340.990156486,46.37038872494312,0.1724288753705651,0.29750048447346444,0.24151464881684212,0.25180557710802165,34000.0,47127.78566594017,0.8203840209901184,0.07786747188206823,0.23914124521209132
7300,2012,150485.0,202750.0,357023,0.4260195054283975,0.5739804945716025,172702.244,36.343734097629905,0.23987641990338004,0.12245264745951999,0.21013285154534528,0.3679583109528096,30635.0,47438.18512075728,0.6208745672117613,0.06603166082775393,0.3751159654879759
7300,2016,148722.0,230468.0,394761,0.39220971017168177,0.6077902898283183,2131776.438746539,44.37847499708484,0.18253314733491371,0.2419786260507179,0.20403343617391148,0.25193784541233893,30000.0,39996.54508361743,0.8333093059136927,0.09902106195816618,0.110718043295106
7300,2020,186393.0,266755.0,458248,0.41132919046315997,0.58867080953684,744692.5738145639,44.88038525364053,0.18007425650376627,0.2503334310471995,0.2300555585188379,0.23826826723246053,34847.0,46677.07848964233,0.8150318467293571,0.09480257433865145,0.11960322428573518
7400,2012,518672.0,467413.0,994967,0.5259911670900581,0.47400883290994184,1290185.775,36.082818950627484,0.24691211930312906,0.11800486794237054,0.2038654433312133,0.3643262126339906,30635.0,45323.54605753037,0.6340083791421434,0.061326251252460134,0.37790004931654125
