respondent_id,income_quintile,left_right
1789,,
333,1.0,
81,,
3872,5.0,
808,2.0,3.0
409,,
1613,1.0,2.0
1961,,0.0
1777,1.0,
1666,2.0,1.0
1379,5.0,0.0
3880,3.0,
1913,4.0,3.0
3892,5.0,0.0
142,1.0,-2.0
1095,1.0,0.0
3994,2.0,-1.0
1104,1.0,0.0
3672,,
1175,5.0,0.0
1612,1.0,
3023,5.0,2.0
3536,3.0,-2.0
3635,,0.0
178,2.0,
810,4.0,0.0
1526,3.0,0.0
3782,5.0,
3696,5.0,-1.0
1353,1.0,0.0
1232,,
1004,4.0,0.0
533,,
600,4.0,3.0
3652,,0.0
1922,4.0,0.0
1727,5.0,0.0
1614,0.0,
3790,1.0,0.0
1685,3.0,-1.0
1602,3.0,1.0
163,4.0,1.0
3762,4.0,
1035,1.0,
606,5.0,0.0
1134,5.0,0.0
565,3.0,0.0
1056,1.0,
31,,3.0
1174,4.0,0.0
3248,5.0,-3.0
802,,0.0
174,4.0,1.0
1914,5.0,-2.0
297,3.0,0.0
326,1.0,0.0
1208,1.0,2.0
3197,1.0,
930,2.0,
3316,,0.0
1217,3.0,0.0
556,,0.0
1940,1.0,-3.0
3828,0.0,
3531,2.0,
1980,2.0,3.0
3718,3.0,0.0
1473,3.0,3.0
74,5.0,-3.0
3787,,
1567,2.0,0.0
3122,5.0,-3.0
1813,5.0,0.0
3843,1.0,0.0
1242,1.0,2.0
1625,2.0,-3.0
3074,3.0,
1510,2.0,1.0
3052,1.0,-2.0
1037,1.0,0.0
3931,,0.0
1100,3.0,0.0
1884,5.0,-1.0
3792,3.0,-1.0
3086,2.0,-2.0
1698,,0.0
1726,5.0,3.0
1594,2.0,3.0
325,,3.0
486,5.0,
1691,1.0,0.0
870,5.0,0.0
1420,,0.0
566,3.0,
3083,,0.0
1587,5.0,3.0
431,1.0,1.0
1704,,
240,1.0,3.0
3076,1.0,0.0
1610,5.0,-3.0
1150,1.0,
3177,,1.0
3035,2.0,0.0
2020,5.0,
1836,3.0,3.0
1221,1.0,3.0
3364,4.0,2.0
1279,3.0,
1317,1.0,
2035,5.0,2.0
2032,,0.0
1511,4.0,3.0
569,,
3614,2.0,1.0
568,1.0,
3206,1.0,
3621,,-3.0
841,3.0,-3.0
1430,5.0,1.0
1682,2.0,-1.0
1466,2.0,0.0
760,,
701,4.0,-2.0
1426,2.0,0.0
3463,5.0,0.0
109,5.0,3.0
1537,1.0,0.0
1227,,
3150,4.0,0.0
613,2.0,-3.0
319,3.0,1.0
1363,5.0,0.0
424,3.0,0.0
1641,5.0,-1.0
745,2.0,0.0
1074,4.0,0.0
403,4.0,0.0
3437,2.0,0.0
791,4.0,-1.0
1953,,2.0
931,1.0,
2004,4.0,-1.0
1011,1.0,
980,5.0,
3520,,0.0
3774,,0.0
1823,5.0,3.0
790,5.0,-2.0
512,,
480,,
1592,,-2.0
1846,,-1.0
71,,3.0
583,1.0,
3650,1.0,0.0
747,5.0,-3.0
57,,
1964,,-1.0
1396,4.0,0.0
1362,5.0,-2.0
2003,5.0,1.0
1065,1.0,0.0
3403,1.0,0.0
1591,,
310,4.0,0.0
3522,1.0,-3.0
1660,2.0,1.0
1361,,
3673,3.0,0.0
3051,,3.0
394,,2.0
3945,1.0,
1045,,
765,3.0,0.0
3320,1.0,0.0
3082,3.0,-2.0
528,2.0,0.0
848,3.0,0.0
1048,2.0,0.0
1111,5.0,2.0
1028,5.0,-2.0
1671,3.0,1.0
3711,3.0,1.0
3140,5.0,-1.0
1838,3.0,0.0
3622,,3.0
1619,1.0,3.0
437,1.0,
2041,,-1.0
121,5.0,
1484,2.0,0.0
788,,
3304,1.0,0.0
3433,,
1564,,
314,,-1.0
1030,,-3.0
234,3.0,
1958,,
1887,4.0,2.0
3955,3.0,
1209,4.0,
112,3.0,
1818,,
3719,5.0,3.0
411,3.0,3.0
219,2.0,3.0
1106,4.0,1.0
3540,4.0,3.0
1645,,0.0
686,2.0,
3212,,-2.0
473,,
3022,,-2.0
3337,5.0,3.0
1230,2.0,3.0
692,3.0,-2.0
1506,1.0,-2.0
863,2.0,-1.0
3883,3.0,
388,,
1731,4.0,-1.0
1673,3.0,2.0
602,1.0,
3371,,3.0
3394,5.0,-1.0
3361,1.0,0.0
136,1.0,
1879,4.0,
3744,,3.0
1207,3.0,0.0
3244,1.0,1.0
367,2.0,
963,1.0,3.0
30,1.0,0.0
3637,2.0,-3.0
23,5.0,0.0
3699,3.0,-2.0
3146,1.0,3.0
1211,2.0,
421,,3.0
3812,5.0,
461,2.0,1.0
44,1.0,
88,5.0,0.0
1438,2.0,0.0
1273,3.0,3.0
283,3.0,0.0
611,5.0,1.0
1300,,
3296,5.0,0.0
3953,2.0,0.0
777,,1.0
534,3.0,2.0
3443,3.0,-1.0
3442,,0.0
3346,,3.0
3380,,
3483,1.0,0.0
766,,0.0
3808,1.0,2.0
928,,
1812,3.0,-1.0
3194,5.0,
3836,5.0,1.0
3178,5.0,0.0
1124,,0.0
1392,3.0,3.0
222,4.0,-1.0
544,2.0,2.0
3982,5.0,0.0
3128,4.0,3.0
3094,1.0,-2.0
966,3.0,
1386,5.0,0.0
3430,,0.0
706,3.0,0.0
3518,3.0,0.0
811,,0.0
1678,,0.0
273,5.0,1.0
522,5.0,0.0
3053,2.0,2.0
1076,5.0,2.0
1718,1.0,2.0
3965,4.0,
351,2.0,-2.0
3335,1.0,1.0
3750,,-3.0
3303,4.0,0.0
2029,,0.0
3587,5.0,
1115,4.0,-3.0
1152,4.0,1.0
3072,5.0,0.0
1717,,1.0
169,2.0,
3837,1.0,0.0
1512,3.0,0.0
1578,,0.0
3495,1.0,0.0
1457,1.0,3.0
1284,4.0,
3544,5.0,-3.0
368,4.0,1.0
830,3.0,0.0
3263,,
3864,3.0,
3270,3.0,-3.0
352,,
3237,4.0,0.0
3730,,
872,2.0,1.0
3120,2.0,0.0
3684,3.0,3.0
3358,1.0,-1.0
499,2.0,
1695,5.0,3.0
211,,
782,2.0,
3585,,3.0
228,4.0,-3.0
366,3.0,0.0
3360,1.0,3.0
1002,3.0,
2008,,0.0
3811,2.0,1.0
1737,,
408,5.0,0.0
1994,3.0,1.0
3570,1.0,1.0
742,1.0,-1.0
3352,,2.0
3395,3.0,
2044,,0.0
8,5.0,-1.0
1090,2.0,0.0
3840,2.0,0.0
3490,3.0,0.0
416,3.0,-2.0
2013,,0.0
1346,2.0,2.0
3516,5.0,1.0
756,4.0,0.0
200,3.0,1.0
284,1.0,0.0
232,4.0,1.0
1768,5.0,1.0
3869,,
97,,0.0
3959,,-2.0
3563,3.0,0.0
1930,,0.0
3355,5.0,-2.0
1126,4.0,
908,3.0,
3972,4.0,2.0
3838,1.0,0.0
1458,4.0,-3.0
1428,2.0,
105,2.0,1.0
3225,5.0,3.0
3996,3.0,-1.0
3330,,
1643,,
3258,,3.0
1422,1.0,
3279,,1.0
227,3.0,3.0
1049,3.0,0.0
3285,,0.0
3995,3.0,
3927,5.0,0.0
1069,,0.0
1712,2.0,-1.0
1609,5.0,1.0
3919,5.0,
1656,5.0,2.0
465,5.0,1.0
1599,5.0,-1.0
3408,4.0,
1327,4.0,0.0
677,,0.0
3062,,0.0
1079,3.0,-1.0
213,,1.0
13,,0.0
3942,1.0,-1.0
423,,0.0
3708,3.0,3.0
950,1.0,1.0
1026,5.0,-1.0
1358,2.0,0.0
3634,2.0,
1810,,3.0
3468,,3.0
1579,4.0,1.0
1661,5.0,0.0
510,,0.0
645,5.0,-2.0
598,1.0,-2.0
953,2.0,
832,5.0,0.0
1256,4.0,3.0
3638,4.0,
519,2.0,0.0
1411,,0.0
3721,3.0,1.0
3607,3.0,0.0
2021,2.0,0.0
730,,
2015,,0.0
1481,5.0,-1.0
124,,0.0
1223,2.0,2.0
221,1.0,2.0
3905,4.0,
359,2.0,
1318,4.0,0.0
3013,2.0,
1675,5.0,-2.0
260,5.0,2.0
3767,,
1452,,
3381,2.0,1.0
1205,4.0,0.0
1038,1.0,
3396,3.0,2.0
1162,4.0,1.0
1544,5.0,1.0
839,,
3712,2.0,-1.0
3313,1.0,-3.0
457,,
463,5.0,0.0
3727,5.0,1.0
3924,2.0,3.0
1555,5.0,0.0
382,3.0,1.0
1114,4.0,3.0
737,4.0,2.0
1376,3.0,3.0
3224,5.0,0.0
1447,,2.0
1910,1.0,
977,5.0,
1967,2.0,2.0
945,2.0,0.0
1460,3.0,
3306,,
3348,1.0,3.0
3275,4.0,0.0
3075,5.0,-3.0
3545,,2.0
543,3.0,0.0
1563,3.0,
1819,3.0,3.0
1713,3.0,0.0
3503,2.0,0.0
3166,,2.0
3878,5.0,0.0
1617,5.0,-1.0
3821,3.0,
773,,-1.0
3891,1.0,1.0
3069,5.0,
1335,1.0,3.0
3409,5.0,
1745,1.0,
1427,,0.0
436,,-1.0
1912,5.0,-1.0
238,,
1357,1.0,0.0
110,,
3686,3.0,
164,5.0,3.0
289,,
253,5.0,-2.0
3126,2.0,
3984,1.0,-2.0
768,4.0,-1.0
1345,5.0,-2.0
1577,2.0,0.0
3338,2.0,-1.0
820,,1.0
3015,,3.0
3321,,
3478,2.0,0.0
913,4.0,
3897,2.0,0.0
3215,,3.0
1546,2.0,1.0
3788,4.0,-2.0
462,2.0,
3999,,1.0
3804,4.0,3.0
158,1.0,
3291,,0.0
3172,1.0,1.0
678,3.0,-1.0
1746,1.0,1.0
999,5.0,1.0
239,3.0,
858,5.0,0.0
3710,1.0,0.0
244,5.0,-1.0
316,,0.0
888,1.0,-2.0
1331,3.0,
1147,,2.0
3440,1.0,0.0
262,,1.0
865,,
1711,1.0,0.0
196,,
1845,3.0,0.0
1054,,2.0
1804,3.0,3.0
180,4.0,
3305,2.0,0.0
1475,3.0,2.0
1690,1.0,
341,,
1191,5.0,0.0
3134,,0.0
749,,3.0
3277,,1.0
663,2.0,1.0
481,2.0,-1.0
804,2.0,0.0
3124,1.0,
1851,1.0,0.0
3370,1.0,0.0
3424,3.0,
550,2.0,1.0
1672,4.0,0.0
784,1.0,3.0
3704,,-1.0
1957,,
743,5.0,
3404,,0.0
3548,,
1018,1.0,
898,3.0,2.0
3611,,1.0
860,3.0,0.0
3107,5.0,2.0
1765,4.0,1.0
248,3.0,0.0
3117,,1.0
1178,5.0,1.0
3716,2.0,-2.0
627,4.0,0.0
348,5.0,-1.0
279,2.0,0.0
3604,5.0,0.0
3268,3.0,3.0
656,,
1269,3.0,0.0
912,3.0,2.0
3619,,
3582,1.0,0.0
3510,,-1.0
1778,5.0,3.0
3590,1.0,0.0
1179,5.0,-1.0
446,,0.0
618,,
1274,1.0,0.0
3054,,2.0
1118,,-1.0
1180,4.0,-2.0
1627,,
845,,
3546,1.0,1.0
548,4.0,3.0
3754,4.0,0.0
1129,5.0,1.0
3647,3.0,1.0
264,,0.0
3286,5.0,-1.0
3749,,0.0
1886,3.0,0.0
354,4.0,0.0
941,3.0,0.0
209,1.0,2.0
943,1.0,2.0
1012,1.0,
3705,3.0,
3325,5.0,
1189,5.0,0.0
1821,3.0,
1566,,3.0
58,,0.0
3751,5.0,0.0
812,5.0,0.0
3179,,3.0
562,,0.0
3034,,3.0
230,5.0,0.0
3501,,0.0
1790,,0.0
1799,4.0,0.0
539,4.0,0.0
1290,5.0,0.0
1394,,0.0
3793,3.0,-1.0
1584,,2.0
965,3.0,1.0
1103,,1.0
708,1.0,0.0
425,5.0,-1.0
70,,0.0
1928,1.0,0.0
3842,1.0,3.0
648,4.0,
1755,4.0,0.0
1981,4.0,
1798,5.0,-2.0
1238,4.0,0.0
3575,5.0,3.0
1117,1.0,0.0
1019,4.0,3.0
621,1.0,
933,3.0,
1252,,
1308,1.0,
1081,4.0,-1.0
3854,1.0,2.0
979,2.0,
3659,,0.0
1454,,-2.0
280,,
3916,1.0,1.0
1568,,
1715,1.0,
991,4.0,3.0
3214,1.0,
554,1.0,0.0
835,2.0,0.0
658,4.0,0.0
597,,2.0
3741,5.0,0.0
803,2.0,
3123,,2.0
3985,1.0,0.0
3757,1.0,-1.0
3715,4.0,3.0
441,3.0,0.0
509,,
77,5.0,0.0
3188,,-2.0
650,3.0,0.0
523,3.0,
3667,1.0,0.0
1092,5.0,2.0
1883,,0.0
655,5.0,1.0
3444,,
3332,4.0,-1.0
3071,1.0,1.0
1719,1.0,
631,4.0,
1310,,
1770,5.0,2.0
1740,1.0,0.0
483,5.0,-3.0
3318,3.0,3.0
3742,1.0,
3557,2.0,0.0
3654,,1.0
439,,0.0
970,,
3534,,0.0
1899,5.0,0.0
3668,1.0,-1.0
857,5.0,1.0
3266,5.0,0.0
167,4.0,2.0
60,4.0,
612,5.0,-1.0
531,,
1776,1.0,0.0
50,1.0,
1692,2.0,1.0
1518,,0.0
859,,0.0
1878,,
49,5.0,-1.0
720,2.0,
1226,3.0,
1360,1.0,0.0
3847,,2.0
1214,4.0,1.0
633,3.0,
1351,,
1873,1.0,3.0
3175,,0.0
1805,5.0,-1.0
1341,,
26,5.0,-1.0
220,1.0,0.0
1338,,
277,,-1.0
3144,2.0,0.0
3701,,1.0
1565,1.0,
3419,3.0,3.0
1058,5.0,1.0
3127,,-1.0
362,3.0,0.0
3913,,
1608,,3.0
1739,,0.0
3322,1.0,1.0
1903,1.0,
2016,4.0,0.0
3829,2.0,-1.0
1917,1.0,0.0
1375,3.0,2.0
3624,,0.0
3823,,
298,3.0,3.0
1750,,1.0
938,3.0,
241,2.0,-3.0
1456,3.0,
959,,0.0
1848,5.0,-1.0
350,,0.0
1296,,0.0
644,4.0,0.0
1101,3.0,1.0
3354,2.0,
1988,4.0,
1809,5.0,3.0
3760,1.0,2.0
3663,4.0,0.0
1098,5.0,3.0
3363,,0.0
1597,,0.0
787,5.0,1.0
3689,3.0,0.0
141,2.0,
789,3.0,
1607,1.0,
3019,2.0,2.0
715,,-3.0
3932,3.0,0.0
1801,3.0,
3542,4.0,
1125,3.0,1.0
619,3.0,
407,4.0,-1.0
1212,5.0,0.0
3438,,1.0
3565,,3.0
3576,5.0,0.0
3049,5.0,
498,1.0,-1.0
3096,2.0,
3254,4.0,
783,5.0,-1.0
3482,2.0,2.0
304,2.0,0.0
1724,3.0,-1.0
665,,-1.0
3387,5.0,
3983,,0.0
1489,,
3428,,
85,4.0,2.0
3200,,-1.0
942,3.0,3.0
962,1.0,3.0
842,,
2002,2.0,0.0
3366,,0.0
3464,5.0,0.0
1321,3.0,-3.0
291,1.0,
1861,5.0,-1.0
3894,,0.0
605,,
3027,,-1.0
917,,
3137,2.0,1.0
3378,2.0,2.0
3085,5.0,-1.0
1344,,0.0
822,,
3461,5.0,
1001,3.0,1.0
1393,1.0,0.0
19,2.0,0.0
1847,,-3.0
1264,4.0,
3632,5.0,-1.0
1303,,-1.0
1601,1.0,0.0
1488,3.0,1.0
1689,2.0,0.0
3734,,0.0
1946,,0.0
1974,,
361,,3.0
3551,4.0,0.0
1875,4.0,
3898,4.0,0.0
1869,4.0,3.0
3143,5.0,3.0
345,,
987,,0.0
1850,2.0,0.0
1377,,
3231,,0.0
1135,3.0,
1642,3.0,0.0
86,4.0,
3227,2.0,1.0
669,,1.0
1015,3.0,-2.0
129,2.0,-2.0
3103,,
1201,4.0,1.0
892,,0.0
1890,,
308,4.0,0.0
384,3.0,3.0
3472,2.0,0.0
3903,5.0,
427,,
495,1.0,-1.0
3159,5.0,0.0
3421,4.0,-3.0
3184,3.0,-1.0
3820,5.0,
1352,,
276,5.0,-1.0
490,1.0,0.0
1261,5.0,2.0
691,,-1.0
3326,1.0,
3577,4.0,0.0
3192,,
3066,3.0,
1059,3.0,1.0
119,3.0,3.0
1025,2.0,
3427,,
282,3.0,
1558,,2.0
3323,4.0,1.0
969,3.0,
2033,,0.0
2043,,1.0
3135,3.0,1.0
2017,5.0,0.0
305,3.0,
1993,4.0,0.0
1414,,-1.0
1573,,3.0
3226,4.0,0.0
1423,,0.0
576,5.0,0.0
1942,3.0,0.0
3566,,3.0
3618,5.0,0.0
1478,5.0,
1236,5.0,0.0
844,5.0,0.0
1498,,3.0
630,,3.0
1034,3.0,1.0
287,3.0,0.0
3198,3.0,1.0
301,1.0,2.0
1407,4.0,-1.0
3412,3.0,
66,1.0,
3207,,0.0
891,5.0,3.0
1552,1.0,3.0
3228,,
3682,,0.0
1519,,-1.0
231,1.0,2.0
504,,0.0
1265,5.0,1.0
1408,2.0,
3676,3.0,2.0
3815,4.0,
1005,3.0,
837,2.0,
3100,1.0,0.0
375,1.0,
3169,3.0,
3549,,0.0
3426,1.0,2.0
1874,2.0,0.0
3058,4.0,3.0
752,5.0,3.0
100,5.0,0.0
1792,,2.0
867,,0.0
911,5.0,2.0
1378,1.0,
530,2.0,-1.0
637,4.0,-1.0
186,2.0,1.0
1243,2.0,
1463,4.0,-2.0
932,3.0,0.0
3743,,-2.0
3661,4.0,0.0
1455,0.0,-2.0
3981,5.0,
3055,,
608,,0.0
1400,4.0,
152,1.0,
1339,,
3255,2.0,-2.0
732,,0.0
3806,1.0,0.0
1840,3.0,0.0
3725,,
24,4.0,0.0
3886,4.0,3.0
159,,2.0
862,0.0,-2.0
903,1.0,
1767,4.0,
1231,1.0,3.0
3241,3.0,0.0
445,4.0,0.0
3935,,3.0
755,3.0,
924,,
3970,,1.0
3185,,
312,,-1.0
549,5.0,0.0
2019,4.0,0.0
1576,4.0,0.0
307,3.0,
288,4.0,0.0
695,3.0,0.0
309,3.0,-1.0
3603,1.0,3.0
750,4.0,0.0
1495,3.0,0.0
3425,4.0,
909,3.0,0.0
1951,3.0,-3.0
3368,4.0,3.0
1337,5.0,
3485,3.0,
971,4.0,1.0
14,2.0,
874,1.0,
809,,
3572,,3.0
515,4.0,0.0
3402,4.0,2.0
410,,
1651,3.0,3.0
3247,3.0,
3830,3.0,0.0
1374,3.0,
1399,2.0,
3938,3.0,
383,5.0,2.0
1732,1.0,2.0
3174,5.0,
1615,5.0,0.0
1412,,0.0
553,,0.0
223,1.0,3.0
1097,,-2.0
3592,2.0,0.0
9,3.0,0.0
1538,2.0,-1.0
317,2.0,
428,,
3914,1.0,1.0
106,1.0,3.0
1926,1.0,0.0
143,,0.0
122,2.0,3.0
3359,5.0,2.0
3862,5.0,
1190,1.0,
1973,2.0,3.0
3594,1.0,3.0
1808,4.0,
116,3.0,3.0
1589,,
1322,2.0,1.0
3130,4.0,2.0
3794,5.0,3.0
3946,5.0,0.0
1663,4.0,-1.0
1867,2.0,0.0
673,,1.0
1492,,
1905,2.0,
592,5.0,-3.0
1468,3.0,2.0
889,5.0,-1.0
1948,3.0,
1424,,2.0
1923,3.0,-1.0
214,,
779,3.0,0.0
1736,5.0,0.0
801,5.0,2.0
3471,4.0,
1585,,-2.0
3271,,1.0
3657,5.0,
3707,,3.0
274,2.0,3.0
72,,0.0
1860,5.0,
1088,5.0,3.0
584,4.0,
3000,,0.0
3007,3.0,
501,1.0,0.0
3020,5.0,1.0
3210,5.0,
3979,,0.0
3736,2.0,3.0
3168,2.0,-1.0
1260,4.0,1.0
3111,1.0,2.0
3132,2.0,-1.0
206,4.0,1.0
734,4.0,0.0
1802,4.0,-1.0
527,5.0,0.0
1433,5.0,0.0
899,,
378,3.0,0.0
3763,4.0,2.0
3677,2.0,0.0
1504,5.0,0.0
387,3.0,1.0
199,3.0,1.0
1051,2.0,3.0
591,5.0,-2.0
520,5.0,0.0
3009,,-1.0
3029,2.0,3.0
430,4.0,3.0
1084,,
208,4.0,
492,1.0,0.0
3457,1.0,0.0
3909,,-3.0
793,,
3484,1.0,0.0
1187,1.0,0.0
1186,4.0,3.0
1831,3.0,-3.0
1398,1.0,0.0
3219,2.0,-2.0
84,5.0,0.0
3357,1.0,0.0
3213,,-1.0
21,,
3937,,
1624,3.0,1.0
2012,2.0,-1.0
3688,2.0,
2011,,0.0
974,3.0,1.0
3786,5.0,0.0
884,5.0,1.0
1099,1.0,0.0
3264,5.0,3.0
887,4.0,-1.0
3998,2.0,
1658,5.0,0.0
3469,2.0,
1559,,0.0
3527,,
1897,5.0,-1.0
1534,1.0,2.0
3643,,0.0
459,,
1966,1.0,0.0
79,3.0,2.0
3911,3.0,
1057,4.0,1.0
907,,
1629,,2.0
3201,5.0,1.0
3692,3.0,3.0
381,3.0,3.0
948,4.0,3.0
1781,3.0,0.0
2034,3.0,3.0
716,5.0,
3758,3.0,0.0
3559,2.0,
1294,5.0,0.0
306,2.0,-1.0
210,,3.0
3216,,1.0
3208,,1.0
3975,2.0,1.0
1603,,
886,5.0,
3890,5.0,0.0
918,,-1.0
3162,5.0,3.0
1728,,1.0
192,4.0,0.0
3867,1.0,-1.0
3025,3.0,3.0
1266,4.0,
484,1.0,
916,,3.0
3593,1.0,
278,2.0,-1.0
989,3.0,0.0
1764,5.0,-1.0
1968,5.0,1.0
3584,5.0,-3.0
572,,
1436,4.0,
994,,3.0
1462,5.0,0.0
1738,,
1638,4.0,2.0
3993,1.0,0.0
1350,,
1008,3.0,1.0
675,,0.0
1761,3.0,
856,4.0,0.0
448,,3.0
3813,5.0,3.0
3769,3.0,
3376,5.0,
3246,3.0,3.0
3670,4.0,0.0
3373,2.0,0.0
1785,5.0,1.0
3666,2.0,
1248,1.0,0.0
295,2.0,0.0
589,,-2.0
1282,1.0,
3990,5.0,0.0
3508,2.0,-3.0
3665,,0.0
1872,2.0,-2.0
3240,5.0,-2.0
1418,5.0,2.0
426,,-3.0
535,,0.0
1055,1.0,0.0
3010,4.0,0.0
3496,2.0,0.0
3868,,-2.0
133,,
1908,5.0,2.0
3641,1.0,0.0
422,1.0,0.0
3653,,-1.0
3033,1.0,-1.0
1747,1.0,
1369,5.0,3.0
557,1.0,0.0
3681,1.0,
1548,4.0,0.0
3674,3.0,1.0
571,,-2.0
353,5.0,0.0
92,4.0,
3109,,2.0
3526,1.0,0.0
1171,,3.0
1657,5.0,1.0
1286,4.0,1.0
1771,4.0,
3956,5.0,-1.0
1508,2.0,
1539,4.0,0.0
698,4.0,-2.0
3498,4.0,0.0
349,1.0,0.0
3968,,-2.0
3334,1.0,
3420,,2.0
3724,,0.0
1138,2.0,
1868,,1.0
1513,4.0,-2.0
3833,1.0,0.0
3817,5.0,0.0
1340,,
3481,4.0,-1.0
454,2.0,
914,5.0,3.0
1200,0.0,-1.0
1275,3.0,
1937,,0.0
38,4.0,3.0
975,3.0,-3.0
3766,4.0,
984,3.0,
3260,2.0,
3059,,
1419,5.0,0.0
1285,5.0,-1.0
40,4.0,-1.0
1487,,0.0
3989,1.0,1.0
170,3.0,
1356,2.0,0.0
738,3.0,-2.0
1722,5.0,0.0
3695,3.0,0.0
