state,county_name,year,state_po,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
ALABAMA,TUSCALOOSA,2024,AL,01125,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,33399.0,85256,20260225,TOTAL
ALABAMA,TUSCALOOSA,2024,AL,01125,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,167.0,85256,20260225,TOTAL
ALABAMA,TUSCALOOSA,2024,AL,01125,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,50724.0,85256,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,452.0,70993,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,307.0,70993,20260225,EARLY VOTING
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OTHER,OTHER,786.0,70993,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,8.0,70993,20260225,EARLY VOTING
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,1044.0,70993,20260225,EARLY VOTING
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OVERVOTES,OTHER,167.0,70993,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,0.0,70993,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,0.0,70993,20260225,PROVISIONAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,0.0,70993,20260225,PROVISIONAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7.0,70993,20260225,PROVISIONAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,41504.0,70993,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,0.0,70993,20260225,ELECTION DAY
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,2.0,70993,20260225,ELECTION DAY
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OVERVOTES,OTHER,0.0,70993,20260225,EARLY VOTING
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,0.0,70993,20260225,ELECTION DAY
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OTHER,OTHER,18.0,70993,20260225,EARLY VOTING
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,9.0,70993,20260225,EARLY VOTING
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OVERVOTES,OTHER,0.0,70993,20260225,PROVISIONAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,88.0,70993,20260225,ELECTION DAY
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,508.0,70993,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OVERVOTES,OTHER,0.0,70993,20260225,ELECTION DAY
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OTHER,OTHER,0.0,70993,20260225,PROVISIONAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,OTHER,OTHER,3.0,70993,20260225,ELECTION DAY
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,0.0,70993,20260225,PROVISIONAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,27576.0,70993,20260225,TOTAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,89.0,70993,20260225,ELECTION DAY
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,9.0,70993,20260225,PROVISIONAL
ARIZONA,COCONINO,2024,AZ,04005,US PRESIDENT,UNDERVOTES,OTHER,0.0,70993,20260225,EARLY VOTING
ARIZONA,MARICOPA,2024,AZ,04013,US PRESIDENT,OTHER,OTHER,19290.0,2061574,20260225,TOTAL
ARIZONA,MARICOPA,2024,AZ,04013,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,980016.0,2061574,20260225,TOTAL
ARIZONA,MARICOPA,2024,AZ,04013,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,10737.0,2061574,20260225,TOTAL
ARIZONA,MARICOPA,2024,AZ,04013,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1051531.0,2061574,20260225,TOTAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,64856.0,111355,20260225,EARLY VOTING
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,283.0,111355,20260225,PROVISIONAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1474.0,111355,20260225,PROVISIONAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,UNDERVOTES,OTHER,453.0,111355,20260225,TOTAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OVERVOTES,OTHER,209.0,111355,20260225,TOTAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OVERVOTES,OTHER,43.0,111355,20260225,ELECTION DAY
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,UNDERVOTES,OTHER,81.0,111355,20260225,ELECTION DAY
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,109.0,111355,20260225,ELECTION DAY
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OTHER,OTHER,528.0,111355,20260225,TOTAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,20211.0,111355,20260225,EARLY VOTING
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,5.0,111355,20260225,PROVISIONAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,287.0,111355,20260225,EARLY VOTING
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OTHER,OTHER,9.0,111355,20260225,PROVISIONAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OTHER,OTHER,407.0,111355,20260225,EARLY VOTING
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,3587.0,111355,20260225,ELECTION DAY
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,19353.0,111355,20260225,ELECTION DAY
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,UNDERVOTES,OTHER,368.0,111355,20260225,EARLY VOTING
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,85683.0,111355,20260225,TOTAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OVERVOTES,OTHER,2.0,111355,20260225,PROVISIONAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OTHER,OTHER,112.0,111355,20260225,ELECTION DAY
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,24081.0,111355,20260225,TOTAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,UNDERVOTES,OTHER,4.0,111355,20260225,PROVISIONAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,401.0,111355,20260225,TOTAL
ARIZONA,MOHAVE,2024,AZ,04015,US PRESIDENT,OVERVOTES,OTHER,164.0,111355,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OVERVOTES,OTHER,209.0,520317,20260225,ELECTION DAY
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,214669.0,520317,20260225,TOTAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,313.0,520317,20260225,ELECTION DAY
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OTHER,OTHER,876.0,520317,20260225,ELECTION DAY
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OTHER,OTHER,4389.0,520317,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,41428.0,520317,20260225,ELECTION DAY
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,261432.0,520317,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,2848.0,520317,20260225,TOTAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1725.0,520317,20260225,PROVISIONAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,292450.0,520317,20260225,TOTAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,16.0,520317,20260225,PROVISIONAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,2644.0,520317,20260225,TOTAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,2260.0,520317,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,1726.0,520317,20260225,PROVISIONAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,368.0,520317,20260225,ELECTION DAY
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,12.0,520317,20260225,PROVISIONAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,2336.0,520317,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,495.0,520317,20260225,ELECTION DAY
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OVERVOTES,OTHER,572.0,520317,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,171516.0,520317,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,1266.0,520317,20260225,EARLY VOTING
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OTHER,OTHER,5320.0,520317,20260225,TOTAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,29292.0,520317,20260225,ELECTION DAY
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OTHER,OTHER,55.0,520317,20260225,PROVISIONAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,17.0,520317,20260225,PROVISIONAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OVERVOTES,OTHER,14.0,520317,20260225,PROVISIONAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,OVERVOTES,OTHER,795.0,520317,20260225,TOTAL
ARIZONA,PIMA,2024,AZ,04019,US PRESIDENT,UNDERVOTES,OTHER,1591.0,520317,20260225,TOTAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,99346.0,150862,20260225,TOTAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,UNDERVOTES,OTHER,2.0,150862,20260225,PROVISIONAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,784.0,150862,20260225,TOTAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,127.0,150862,20260225,ELECTION DAY
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,84292.0,150862,20260225,EARLY VOTING
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,657.0,150862,20260225,EARLY VOTING
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OTHER,OTHER,502.0,150862,20260225,EARLY VOTING
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,UNDERVOTES,OTHER,1173.0,150862,20260225,EARLY VOTING
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OTHER,OTHER,3.0,150862,20260225,PROVISIONAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OVERVOTES,OTHER,1.0,150862,20260225,PROVISIONAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OVERVOTES,OTHER,43.0,150862,20260225,EARLY VOTING
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OTHER,OTHER,581.0,150862,20260225,TOTAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OVERVOTES,OTHER,60.0,150862,20260225,TOTAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,3663.0,150862,20260225,ELECTION DAY
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,48717.0,150862,20260225,TOTAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,44986.0,150862,20260225,EARLY VOTING
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,0.0,150862,20260225,PROVISIONAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OVERVOTES,OTHER,16.0,150862,20260225,ELECTION DAY
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,251.0,150862,20260225,PROVISIONAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,68.0,150862,20260225,PROVISIONAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,UNDERVOTES,OTHER,1374.0,150862,20260225,TOTAL
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,OTHER,OTHER,76.0,150862,20260225,ELECTION DAY
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,14803.0,150862,20260225,ELECTION DAY
ARIZONA,YAVAPAI,2024,AZ,04025,US PRESIDENT,UNDERVOTES,OTHER,199.0,150862,20260225,ELECTION DAY
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,419.0,68910,20260225,PROVISIONAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OVERVOTES,OTHER,4.0,68910,20260225,PROVISIONAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,UNDERVOTES,OTHER,16.0,68910,20260225,LATE EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OVERVOTES,OTHER,234.0,68910,20260225,TOTAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,2.0,68910,20260225,PROVISIONAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OTHER,OTHER,8.0,68910,20260225,PROVISIONAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6865.0,68910,20260225,ELECTION DAY
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,3438.0,68910,20260225,ELECTION DAY
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OVERVOTES,OTHER,205.0,68910,20260225,EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OVERVOTES,OTHER,1.0,68910,20260225,LATE EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OTHER,OTHER,50.0,68910,20260225,ELECTION DAY
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,26823.0,68910,20260225,TOTAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OTHER,OTHER,439.0,68910,20260225,TOTAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,228.0,68910,20260225,PROVISIONAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OTHER,OTHER,15.0,68910,20260225,LATE EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,40.0,68910,20260225,ELECTION DAY
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OTHER,OTHER,366.0,68910,20260225,EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,273.0,68910,20260225,EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,UNDERVOTES,OTHER,282.0,68910,20260225,EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,40745.0,68910,20260225,TOTAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,UNDERVOTES,OTHER,1.0,68910,20260225,PROVISIONAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,UNDERVOTES,OTHER,341.0,68910,20260225,TOTAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,690.0,68910,20260225,LATE EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,32472.0,68910,20260225,EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,22467.0,68910,20260225,EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,328.0,68910,20260225,TOTAL
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,989.0,68910,20260225,LATE EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,13.0,68910,20260225,LATE EARLY VOTING
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,OVERVOTES,OTHER,24.0,68910,20260225,ELECTION DAY
ARIZONA,YUMA,2024,AZ,04027,US PRESIDENT,UNDERVOTES,OTHER,42.0,68910,20260225,ELECTION DAY
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,18.0,128595,20260225,ABSENTEE
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,816.0,128595,20260225,TOTAL
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,7980.0,128595,20260225,ELECTION DAY
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,236.0,128595,20260225,ELECTION DAY
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,0.0,128595,20260225,PROVISIONAL
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,OTHER,OTHER,0.0,128595,20260225,PROVISIONAL
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,35785.0,128595,20260225,EARLY VOTING
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,45231.0,128595,20260225,TOTAL
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,0.0,128595,20260225,PROVISIONAL
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,OTHER,OTHER,1768.0,128595,20260225,EARLY VOTING
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,OTHER,OTHER,831.0,128595,20260225,ELECTION DAY
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,0.0,128595,20260225,PROVISIONAL
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1390.0,128595,20260225,ABSENTEE
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,63037.0,128595,20260225,EARLY VOTING
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,562.0,128595,20260225,EARLY VOTING
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,79907.0,128595,20260225,TOTAL
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,15480.0,128595,20260225,ELECTION DAY
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,1466.0,128595,20260225,ABSENTEE
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,OTHER,OTHER,42.0,128595,20260225,ABSENTEE
ARKANSAS,BENTON,2024,AR,05007,US PRESIDENT,OTHER,OTHER,2641.0,128595,20260225,TOTAL
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1085.0,153924,20260225,ABSENTEE
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,65983.0,153924,20260225,EARLY VOTING
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,104.0,153924,20260225,PROVISIONAL
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,OTHER,OTHER,1277.0,153924,20260225,ELECTION DAY
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,2362.0,153924,20260225,ABSENTEE
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,12.0,153924,20260225,ABSENTEE
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,1.0,153924,20260225,PROVISIONAL
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,347.0,153924,20260225,ELECTION DAY
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,17452.0,153924,20260225,ELECTION DAY
ARKANSAS,PULASKI,2024,AR,05119,US PRESIDENT,OTHER,OTHER,3078.0,153924,20260225,TOTAL
