respondent_id,interview_date,treatment,govt_intervention,supports_intervention,fx_status,age,female,ed_level,urban_rural,survey_weight,income_quintile,left_right
84,2015-10-08,history,some,1,none,65,1,3,2,0.583578508378518,5,0
85,2015-10-08,cntrl,some,1,none,35,1,2,3,0.901048554458835,4,2
86,2015-10-08,history,none,0,none,47,1,4,3,0.859200667957232,4,NA
87,2015-10-08,history,some,1,none,69,0,2,3,0.779270907327552,4,1
88,2015-10-08,Hungary,none,0,none,52,1,4,2,0.91922121875659,5,0
89,2015-10-08,history,some,1,none,69,1,4,2,0.675429604490129,5,2
90,2015-10-08,history,none,0,none,71,1,3,3,0.679734582166217,4,0
91,2015-10-08,cntrl,some,1,none,25,1,4,3,1.54211519976848,2,0
92,2015-10-08,history,DK,0,none,82,1,2,2,0.765319344460274,4,NA
93,2015-10-08,info,some,1,none,19,0,1,2,1.30636639467262,NA,0
94,2015-10-08,history,some,1,none,29,1,4,1,1.23971700977958,2,0
95,2015-10-08,cntrl,some,1,none,56,1,2,1,0.584186510430362,1,0
96,2015-10-08,history,none,0,none,60,0,2,1,1.17346529421197,1,NA
97,2015-10-08,info,some,1,none,58,0,2,2,0.845878675880913,NA,0
98,2015-10-08,cntrl,some,1,none,68,1,1,2,1.13007241476289,NA,1
99,2015-10-08,info,some,1,none,55,0,2,2,1.07490386973296,1,3
100,2015-10-08,history,some,1,none,41,1,4,2,0.963992442368237,5,0
101,2015-10-08,Hungary,none,0,current,34,0,4,2,1.63888880371909,NA,NA
102,2015-10-09,info,some,1,none,26,1,4,1,0.930697487228142,1,0
103,2015-10-09,info,big,1,none,36,1,2,1,0.720284053952341,1,-1
104,2015-10-09,Hungary,some,1,none,52,1,2,3,1.14781676967905,5,0
105,2015-10-08,info,none,0,none,85,1,1,1,0.824136085778337,2,1
106,2015-10-08,history,none,0,none,39,0,2,1,1.34808826371753,1,3
107,2015-10-08,cntrl,none,0,none,52,0,1,1,1.29381585081329,3,0
108,2015-10-08,cntrl,big,1,none,50,1,2,1,1.04143203787497,2,3
109,2015-10-09,info,none,0,none,25,0,2,3,1.41438254117755,5,3
110,2015-10-09,Hungary,some,1,none,30,1,4,2,1.29827647159996,NA,NA
111,2015-10-08,history,none,0,none,51,0,3,2,1.14162854913715,1,-1
112,2015-10-09,Hungary,none,0,none,55,1,2,1,0.670281558154555,3,NA
113,2015-10-09,info,none,0,none,38,0,2,1,0.927838525340404,1,3
114,2015-10-09,Hungary,big,1,none,59,0,2,1,0.730033956014689,3,3
115,2015-10-09,Hungary,some,1,none,80,1,1,1,0.821258591452106,1,3
116,2015-10-09,cntrl,DK,0,none,50,0,2,1,1.28098998610585,3,3
117,2015-10-09,info,big,1,none,80,0,1,2,1.25239872457336,5,3
118,2015-10-09,history,none,0,none,66,0,1,2,1.25239872457336,4,-3
119,2015-10-09,history,none,0,none,77,0,2,2,0.859424968374014,3,3
120,2015-10-09,Hungary,big,1,none,62,1,2,2,0.510171362412959,NA,NA
121,2015-10-09,Hungary,big,1,none,30,1,2,1,0.699542308652016,5,NA
122,2015-10-09,history,none,0,none,49,0,2,1,0.779546584257265,2,3
123,2015-10-09,info,none,0,none,51,0,2,1,0.573297840428364,2,NA
124,2015-10-09,Hungary,some,1,none,44,0,2,2,1.3382798374426501,NA,0
125,2015-10-09,Hungary,some,1,none,37,0,4,3,1.11370308970091,3,0
126,2015-10-09,history,none,0,none,63,1,4,2,0.804607399290318,5,-1
127,2015-10-09,cntrl,big,1,none,69,1,2,2,0.913003561962992,4,-1
128,2015-10-09,info,DK,0,none,71,1,1,1,1.7506117565931,2,0
129,2015-10-09,history,DK,0,none,56,1,2,1,1.34902310384198,2,-2
130,2015-10-09,Hungary,none,0,none,40,1,2,1,1.4213813929318,1,NA
131,2015-10-09,cntrl,some,1,none,19,1,3,1,1.06225538242195,NA,NA
132,2015-10-09,info,some,1,none,42,1,2,1,1.11853370745945,1,0
133,2015-10-09,history,none,0,none,21,1,2,1,0.83592514794246,NA,NA
134,2015-10-09,Hungary,big,1,none,58,0,1,1,2.42654216956415,1,0
135,2015-10-09,Hungary,none,0,none,30,0,2,1,2.48082299333913,NA,0
136,2015-10-09,info,none,0,none,43,0,1,1,1.9576451503724,1,NA
137,2015-10-09,cntrl,some,1,none,63,1,2,1,0.677188680811459,3,2
138,2015-10-09,info,DK,0,none,21,1,3,1,0.601114393980743,2,NA
139,2015-10-09,Hungary,none,0,none,67,0,1,1,0.947356663108112,3,NA
140,2015-10-09,cntrl,big,1,none,58,1,3,1,0.518217307347237,5,-1
141,2015-10-09,info,DK,0,none,42,0,2,1,1.19520891685369,2,NA
142,2015-10-09,cntrl,some,1,none,64,1,1,1,1.00035515364594,1,-2
143,2015-10-09,Hungary,some,1,none,38,1,3,2,0.781837568459839,NA,0
144,2015-10-09,history,big,1,none,27,0,4,2,0.983331642628206,NA,2
145,2015-10-09,history,some,1,none,54,1,2,2,0.969197418301602,5,NA
146,2015-10-09,cntrl,none,0,none,72,1,2,2,0.665536812552906,NA,3
147,2015-10-09,Hungary,DK,0,none,78,1,1,2,0.909984839500705,3,NA
148,2015-10-09,Hungary,some,1,none,84,0,4,2,0.627395736847683,3,0
149,2015-10-09,history,none,0,none,23,0,4,2,0.909945081553434,3,3
150,2015-10-09,Hungary,none,0,past,72,0,2,3,0.765604813690014,NA,2
151,2015-10-09,cntrl,none,0,none,65,0,4,3,0.561502625589313,5,-1
152,2015-10-09,history,big,1,none,58,0,2,1,0.653744499939362,1,NA
153,2015-10-09,history,DK,0,none,57,0,2,1,0.457707997323899,1,-2
154,2015-10-09,cntrl,some,1,none,78,1,3,1,0.471639364753956,3,1
155,2015-10-09,info,big,1,none,45,0,2,1,0.792289317017919,3,3
156,2015-10-09,info,DK,0,none,43,0,2,3,1.11219771864794,5,NA
157,2015-10-09,history,none,0,none,59,1,3,2,0.680615333283437,NA,NA
158,2015-10-09,Hungary,some,1,none,31,1,1,3,1.88580482069305,1,NA
159,2015-10-09,cntrl,none,0,none,34,1,4,2,1.01123761856731,NA,2
160,2015-10-09,info,some,1,none,20,1,3,3,1.24038799312415,NA,-1
161,2015-10-09,cntrl,DK,0,none,69,0,1,1,0.960336394225949,4,-3
162,2015-10-09,cntrl,none,0,none,69,0,1,1,0.960336394225949,3,0
163,2015-10-09,history,some,1,none,28,0,2,2,1.28269055525026,4,1
164,2015-10-09,info,none,0,none,65,0,3,2,0.526930248945965,5,3
165,2015-10-09,Hungary,some,1,none,48,1,4,2,1.0038818218028,NA,0
166,2015-10-09,history,some,1,none,30,1,4,1,1.0872089253379,1,3
167,2015-10-09,history,none,0,none,46,0,2,2,1.03070823389512,4,2
168,2015-10-09,info,none,0,none,54,1,2,1,1.07586052339763,2,NA
169,2015-10-09,cntrl,none,0,none,40,1,2,1,0.829751017021988,2,NA
170,2015-10-09,cntrl,DK,0,none,65,1,3,1,0.58137219403465,3,NA
171,2015-10-09,info,none,0,none,49,0,1,1,2.06058048492219,2,NA
172,2015-10-09,history,big,1,current,38,1,4,3,1.04364856153397,3,1
173,2015-10-09,Hungary,none,0,none,55,1,4,3,0.691454498628761,5,3
174,2015-10-09,history,big,1,none,84,0,2,3,0.834935323745871,4,1
175,2015-10-09,Hungary,DK,0,none,47,1,2,2,0.896646302855939,NA,3
176,2015-10-09,history,some,1,none,65,0,2,2,0.63996094267363,3,0
177,2015-10-09,Hungary,DK,0,none,68,1,2,1,0.39075719779235,3,0
178,2015-10-09,Hungary,DK,0,none,24,1,4,1,0.493615823515109,2,NA
179,2015-10-09,history,DK,0,none,52,0,2,1,0.613451910488366,2,-1
180,2015-10-09,cntrl,big,1,none,61,0,2,1,0.541632840595762,4,NA
181,2015-10-09,history,big,1,none,78,1,1,1,1.7506117565931,NA,NA
182,2015-10-09,history,some,1,none,27,1,4,1,2.00433761070344,3,NA
183,2015-10-09,Hungary,none,0,none,70,0,1,1,2.01940500761335,3,-2
184,2015-10-09,Hungary,none,0,none,80,1,4,3,0.588387371436154,NA,NA
185,2015-10-09,Hungary,none,0,none,23,1,3,3,0.720554319930334,4,NA
186,2015-10-09,history,some,1,none,19,0,1,3,1.64701187824687,2,1
187,2015-10-09,Hungary,none,0,none,66,1,4,2,0.65605975776907,NA,NA
188,2015-10-08,Hungary,none,0,none,49,1,2,3,0.919379516339038,3,NA
189,2015-10-09,info,some,1,none,58,0,2,3,0.688638199869533,4,0
190,2015-10-09,Hungary,none,0,none,48,0,4,3,0.923712625522885,5,0
191,2015-10-09,cntrl,some,1,none,40,1,2,1,1.02758690304341,4,0
192,2015-10-09,Hungary,none,0,none,67,0,4,1,0.610796928470018,4,0
193,2015-10-09,cntrl,none,0,none,48,0,1,1,1.07773861853044,1,3
194,2015-10-09,info,none,0,none,73,1,1,1,0.825654065416682,2,1
195,2015-10-09,info,some,1,none,36,1,3,1,0.75571282623033,3,3
196,2015-10-09,history,some,1,none,47,1,2,1,2.36712973802035,NA,NA
197,2015-10-09,cntrl,big,1,none,80,1,1,1,1.7506117565931,NA,1
198,2015-10-10,cntrl,some,1,none,42,0,4,2,0.895437133158792,NA,2
199,2015-10-10,cntrl,none,0,none,37,0,2,2,1.09571903796646,3,1
200,2015-10-09,Hungary,some,1,none,26,0,3,1,1.53443134862666,3,1
201,2015-10-09,cntrl,none,0,none,41,1,3,1,1.43491810848849,NA,-2
202,2015-10-09,history,none,0,none,19,1,1,3,1.93416010465821,4,0
203,2015-10-09,history,big,1,none,40,0,2,3,1.25271726355009,1,0
204,2015-10-09,info,some,1,none,41,1,2,3,1.0148906624621,2,0
205,2015-10-10,cntrl,DK,0,none,65,0,4,1,0.560447469430194,NA,-1
206,2015-10-10,history,some,1,current,35,1,4,2,0.635437263718171,4,1
207,2015-10-10,Hungary,some,1,none,59,1,2,2,0.680615333283437,NA,NA
208,2015-10-10,info,none,0,none,56,0,2,2,0.785118691859937,4,NA
209,2015-10-10,info,none,0,none,55,1,2,2,0.680615333283437,1,2
210,2015-10-10,info,none,0,none,59,0,2,3,0.936381612908666,NA,3
211,2015-10-10,info,none,0,none,74,1,2,3,0.631327427494556,NA,NA
212,2015-10-10,history,none,0,none,55,1,2,3,0.59697689378095,NA,NA
213,2015-10-10,cntrl,none,0,none,63,1,2,3,0.758610887782503,NA,1
214,2015-10-10,info,DK,0,none,71,1,1,1,0.832510653226062,NA,NA
215,2015-10-10,info,some,1,none,56,1,3,1,0.641533510309663,NA,0
216,2015-10-10,Hungary,big,1,none,59,1,1,1,1.00035515364594,NA,0
217,2015-10-10,history,none,0,none,54,1,4,1,0.677179132318586,NA,0
218,2015-10-10,history,none,0,none,46,1,2,1,0.726599142527788,NA,NA
219,2015-10-10,cntrl,big,1,none,80,0,2,2,0.699151220804639,2,3
220,2015-10-10,Hungary,some,1,none,51,1,1,2,1.84955343350159,1,0
221,2015-10-10,Hungary,big,1,past,64,0,2,2,1.47284029939294,1,2
222,2015-10-10,info,some,1,none,58,1,4,1,0.840116144612204,4,-1
223,2015-10-10,info,some,1,none,53,0,1,1,2.47805101296245,1,3
224,2015-10-10,info,none,0,none,22,0,2,2,1.22782915380828,3,0
225,2015-10-10,info,none,0,none,39,1,2,1,1.61948152568544,1,0
226,2015-10-10,cntrl,big,1,none,73,1,1,1,1.14206333508728,2,0
227,2015-10-10,history,none,0,none,70,1,1,1,1.14206333508728,3,3
228,2015-10-10,Hungary,none,0,none,42,1,4,2,0.782040812772466,4,-3
229,2015-10-10,history,big,1,past,32,1,4,2,1.04964658799694,3,0
230,2015-10-10,info,none,0,none,49,0,4,2,0.860219767509433,5,0
231,2015-10-10,info,none,0,none,22,1,3,2,0.852708936335723,1,2
232,2015-10-10,info,big,1,none,70,1,4,2,0.547943628653753,4,1
233,2015-10-10,Hungary,some,1,none,41,0,2,2,1.03574903766014,1,-3
234,2015-10-10,Hungary,big,1,none,61,1,1,2,1.10160646856092,3,NA
235,2015-10-10,history,big,1,none,23,1,4,1,0.502478067311751,4,3
236,2015-10-09,history,some,1,none,37,1,4,1,0.704312634017607,4,0
237,2015-10-10,history,DK,0,none,44,1,4,1,0.704312634017607,NA,1
238,2015-10-09,history,none,0,none,70,0,2,1,0.65357745358048,NA,NA
239,2015-10-10,Hungary,none,0,none,56,1,2,2,0.728641351355846,3,NA
240,2015-10-10,Hungary,some,1,none,60,0,2,2,0.899389100265789,1,3
241,2015-10-10,history,some,1,none,38,0,2,2,1.35749516795851,2,-3
242,2015-10-10,cntrl,big,1,none,71,1,2,2,0.824538933644719,4,3
243,2015-10-10,cntrl,DK,0,none,34,0,4,3,1.30018199608556,NA,NA
244,2015-10-10,cntrl,DK,0,none,53,0,2,3,1.25947555779341,5,-1
245,2015-10-10,info,DK,0,none,29,0,4,3,1.30018199608556,NA,NA
246,2015-10-10,cntrl,none,0,none,59,0,4,3,0.815570193363377,NA,0
247,2015-10-10,Hungary,none,0,none,44,1,2,3,0.901048554458835,4,NA
248,2015-10-10,cntrl,DK,0,none,60,0,1,2,1.2590209776191,3,0
249,2015-10-10,info,some,1,none,57,0,4,2,0.63538440231586,NA,2
250,2015-10-10,cntrl,none,0,none,53,0,2,2,1.35893080767278,4,3
251,2015-10-10,cntrl,some,1,none,22,0,2,2,1.13964467262702,2,1
252,2015-10-10,history,some,1,none,22,1,1,2,2.49068645968587,3,0
253,2015-10-10,history,some,1,none,37,1,4,2,1.86154845894932,5,-2
254,2015-10-10,info,some,1,none,30,0,2,1,1.16382012715184,1,0
255,2015-10-10,info,big,1,none,63,0,2,2,0.860952738408834,NA,NA
256,2015-10-10,cntrl,none,0,none,38,0,3,2,0.955670580778758,NA,NA
257,2015-10-10,cntrl,none,0,none,23,1,4,2,0.784627266156561,2,0
258,2015-10-10,Hungary,DK,0,none,77,0,1,1,0.947356663108112,2,1
259,2015-10-10,history,none,0,none,55,0,2,3,0.998206986902449,5,1
260,2015-10-10,history,some,1,none,26,1,4,2,1.17213628737803,5,2
261,2015-10-10,cntrl,DK,0,none,23,0,2,2,0.864386281596632,NA,NA
262,2015-10-10,history,none,0,none,44,0,1,2,1.68548231910262,NA,1
263,2015-10-10,history,none,0,none,62,0,2,1,0.477664863251493,0,3
264,2015-10-10,Hungary,none,0,none,60,0,2,1,0.890038208056932,NA,0
265,2015-10-09,Hungary,none,0,none,52,0,4,3,0.994538472759243,5,2
266,2015-10-10,info,big,1,none,68,1,1,1,0.821258591452106,3,NA
267,2015-10-10,info,big,1,none,83,0,1,1,0.947356663108112,NA,0
268,2015-10-10,history,none,0,current,63,1,4,1,0.464148133940433,5,0
269,2015-10-10,info,some,1,current,35,1,4,1,0.700563136527779,4,0
270,2015-10-10,Hungary,some,1,none,28,0,4,1,1.19730210789097,NA,NA
271,2015-10-10,info,none,0,none,42,1,2,1,0.887867196990437,4,0
272,2015-10-10,info,some,1,current,50,1,4,1,0.791214440704211,5,2
273,2015-10-10,Hungary,some,1,none,32,0,3,1,1.17976562361396,5,1
274,2015-10-10,Hungary,some,1,none,61,1,2,1,0.606421621698889,2,3
275,2015-10-10,info,big,1,none,29,1,4,1,0.842026865650138,1,NA
276,2015-10-10,info,none,0,current,59,1,4,2,0.542506061045315,5,-1
277,2015-10-10,info,DK,0,none,83,0,1,1,0.848356713938074,NA,-1
278,2015-10-10,history,some,1,none,21,1,3,1,0.684043411549415,2,-1
279,2015-10-10,Hungary,some,1,none,39,0,4,1,0.723678810300175,2,0
280,2015-10-10,Hungary,DK,0,none,40,0,2,1,0.965464682133842,NA,NA
281,2015-10-10,Hungary,none,0,none,36,0,4,2,0.926789047463964,NA,NA
282,2015-10-10,info,none,0,none,64,1,1,1,1.02685312786623,3,NA
283,2015-10-09,cntrl,none,0,none,67,1,2,2,1.39949748869368,3,0
284,2015-10-09,cntrl,none,0,none,64,0,4,3,1.22471828966088,1,0
285,2015-10-10,history,none,0,none,51,0,4,3,1.98929510633061,5,0
286,2015-10-10,Hungary,none,0,none,24,1,4,3,1.44623126635411,4,0
287,2015-10-10,Hungary,some,1,current,30,0,4,3,2.80005448738786,3,0
288,2015-10-10,Hungary,some,1,none,68,1,2,2,1.49751899906221,4,0
289,2015-10-10,info,some,1,none,67,0,2,1,0.904043082495184,NA,NA
290,2015-10-10,info,none,0,none,66,0,2,1,0.84486809477223,4,3
291,2015-10-10,cntrl,big,1,none,60,1,1,1,1.37231750562885,1,NA
292,2015-10-10,cntrl,none,0,none,49,1,2,1,1.54426706721596,1,2
293,2015-10-10,cntrl,some,1,none,67,1,2,1,0.732411781639925,2,-3
294,2015-10-10,history,some,1,none,48,0,2,1,1.78137764520517,1,0
295,2015-10-10,info,some,1,none,53,1,2,1,1.35536740632414,2,0
296,2015-10-10,Hungary,some,1,none,65,0,1,3,1.2167111417986,5,0
297,2015-10-10,info,big,1,none,66,0,1,2,1.25239872457336,3,0
298,2015-10-10,cntrl,big,1,none,75,1,1,2,1.085697976837,3,3
299,2015-10-10,history,none,0,none,28,1,4,3,1.18491437924878,5,-2
300,2015-10-10,history,some,1,none,54,1,3,2,1.18612924857238,3,NA
301,2015-10-10,info,some,1,none,73,0,2,1,0.806507674906665,1,2
302,2015-10-10,cntrl,some,1,none,46,0,2,2,1.46408341454596,4,-1
303,2015-10-10,history,none,0,none,64,1,4,2,0.768074977419141,4,0
304,2015-10-10,Hungary,some,1,none,25,0,2,2,2.44734063534847,2,0
305,2015-10-10,cntrl,none,0,none,45,1,2,2,1.61284927136887,3,NA
306,2015-10-10,cntrl,none,0,none,60,0,2,1,0.773198243385727,2,-1
307,2015-10-10,cntrl,big,1,none,61,1,2,1,0.626407650215074,3,NA
308,2015-10-10,history,none,0,none,63,0,4,1,0.946154392094488,4,0
309,2015-10-10,history,some,1,none,42,0,2,3,1.03939777402048,3,-1
310,2015-10-10,history,DK,0,none,78,1,2,3,0.631327427494556,4,0
311,2015-10-10,Hungary,some,1,none,21,1,3,1,0.763868633488348,NA,-1
312,2015-10-10,history,big,1,none,38,0,1,1,1.1242136023323,NA,-1
313,2015-10-10,history,big,1,none,34,0,2,1,1.16382012715184,4,NA
314,2015-10-10,info,none,0,none,21,0,2,1,0.693410982064669,NA,-1
315,2015-10-10,Hungary,big,1,none,58,1,2,1,0.632862660681379,NA,NA
316,2015-10-10,history,some,1,none,48,1,3,1,0.910849358571915,NA,0
317,2015-10-10,cntrl,some,1,none,49,1,4,1,0.668026502980623,2,NA
318,2015-10-10,info,DK,0,none,39,1,2,1,1.71454436743171,2,NA
319,2015-10-10,history,none,0,none,60,0,2,1,1.2245920230959,3,1
320,2015-10-10,cntrl,none,0,none,62,1,4,1,0.880075104763319,2,1
321,2015-10-10,history,none,0,none,54,0,2,1,1.23035114033387,3,0
322,2015-10-10,cntrl,some,1,none,60,0,2,1,0.623148569780254,1,-3
323,2015-10-10,info,big,1,none,53,0,2,3,1.32020755226503,5,1
324,2015-10-10,Hungary,none,0,past,51,0,4,3,1.23041296417314,NA,1
325,2015-10-09,Hungary,DK,0,none,69,1,3,1,0.694395115903649,NA,3
326,2015-10-10,cntrl,none,0,none,57,0,2,1,0.69953309462915,1,0
327,2015-10-10,info,DK,0,none,45,0,2,1,0.792289317017919,1,-2
328,2015-10-10,history,DK,0,none,34,1,2,1,1.30810975567411,1,0
329,2015-10-10,info,big,1,none,41,1,2,1,0.915303977954067,NA,0
330,2015-10-10,info,none,0,none,29,0,4,2,1.88027755793408,5,0
331,2015-10-10,info,none,0,none,57,1,2,2,1.17391622082117,4,NA
332,2015-10-10,info,DK,0,none,76,1,4,2,0.913003561962992,NA,3
333,2015-10-10,info,big,1,none,58,1,2,3,0.697191881917556,1,NA
334,2015-10-10,info,none,0,none,21,0,3,1,0.972660911364959,2,2
335,2015-10-10,Hungary,some,1,current,39,0,2,1,0.878986201377302,NA,3
336,2015-10-10,Hungary,none,0,none,52,1,2,1,0.777490513150774,NA,-1
337,2015-10-10,info,big,1,none,79,1,1,1,0.832510653226062,3,3
338,2015-10-10,info,some,1,none,23,1,3,1,0.609350260691527,3,0
339,2015-10-10,info,none,0,past,39,0,2,3,1.03939777402048,NA,-1
340,2015-10-10,cntrl,none,0,none,79,0,2,3,0.728262999334176,NA,-1
341,2015-10-10,info,DK,0,none,68,1,1,1,1.01024080242217,NA,NA
342,2015-10-10,history,big,1,none,41,1,3,1,0.782172577440012,NA,NA
343,2015-10-10,Hungary,some,1,none,35,0,2,1,1.30636066677313,NA,NA
344,2015-10-10,Hungary,some,1,none,54,0,2,1,0.920625082492612,3,0
345,2015-10-10,cntrl,some,1,none,73,1,1,1,0.854562667200198,NA,NA
346,2015-10-10,history,none,0,none,19,0,2,1,0.772066881422968,NA,NA
347,2015-10-10,info,none,0,past,31,0,4,1,1.12864806007056,NA,0
348,2015-10-10,info,some,1,none,72,0,2,3,0.625491306498945,5,-1
349,2015-10-10,history,big,1,none,47,1,2,2,0.933104869685263,1,0
350,2015-10-10,cntrl,none,0,none,56,1,4,1,0.626407650215074,NA,0
351,2015-10-10,info,some,1,none,47,1,2,1,0.709467633731905,2,-2
352,2015-10-10,info,none,0,none,33,0,4,1,1.07359907712451,NA,NA
353,2015-10-10,info,none,0,none,64,0,4,2,0.769237437672803,5,0
354,2015-10-10,cntrl,none,0,none,60,1,4,2,0.563062480530505,4,0
