respondent_id,interview_date,treatment,govt_intervention,supports_intervention,fx_status,age,female,ed_level,urban_rural,survey_weight
45,2015-10-08,Hungary,none,0.0,none,56,0,2,2,0.704988044911817
46,2015-10-08,Hungary,DK,0.0,none,64,1,2,2,0.543014721522279
47,2015-10-08,history,some,1.0,none,74,0,3,2,0.66243356132898
48,2015-10-08,Hungary,none,0.0,none,73,1,3,2,0.574260228162407
49,2015-10-08,Hungary,big,1.0,none,80,1,3,2,0.574260228162407
50,2015-10-08,Hungary,some,1.0,none,48,1,2,2,1.06323775050426
51,2015-10-08,info,some,1.0,past,56,0,2,1,0.550486554641191
52,2015-10-08,history,none,0.0,none,39,1,2,1,0.598887963855451
53,2015-10-08,Hungary,big,1.0,none,57,1,3,1,0.445977460654622
54,2015-10-08,Hungary,none,0.0,none,41,1,3,1,0.559687190579516
55,2015-10-08,history,none,0.0,none,59,0,2,1,0.69953309462915
56,2015-10-08,info,none,0.0,none,61,0,4,3,0.869418893004376
57,2015-10-08,Hungary,none,0.0,none,73,0,4,3,0.919445959891745
58,2015-10-08,info,some,1.0,current,30,1,4,3,1.52686217922142
59,2015-10-08,history,some,1.0,none,39,0,2,3,1.11219771864794
60,2015-10-08,info,some,1.0,none,32,1,2,3,1.20937747155975
61,2015-10-08,info,some,1.0,none,35,1,1,3,1.78543733176675
62,2015-10-08,history,big,1.0,none,53,0,2,2,1.22648989963965
63,2015-10-08,info,some,1.0,none,62,1,1,2,1.07653450337841
64,2015-10-08,history,some,1.0,none,78,0,4,3,0.730771563579266
65,2015-10-08,history,big,1.0,past,57,0,2,2,0.76630009413114
66,2015-10-08,info,DK,0.0,none,68,0,2,2,0.757348547399936
67,2015-10-08,Hungary,none,0.0,none,31,1,4,2,1.17213628737803
68,2015-10-08,info,none,0.0,current,52,1,3,3,0.937754567434888
69,2015-10-08,Hungary,DK,0.0,none,76,1,4,3,0.689047623865915
70,2015-10-08,Hungary,big,1.0,none,38,1,2,1,0.815358657303597
71,2015-10-08,info,none,0.0,none,48,0,2,1,0.896868326009696
72,2015-10-08,Hungary,some,1.0,none,65,1,3,1,0.533893867380759
73,2015-10-08,cntrl,some,1.0,none,45,0,2,1,0.896868326009696
74,2015-10-08,history,some,1.0,none,66,1,2,2,0.574551115454091
75,2015-10-08,history,none,0.0,none,49,1,2,2,0.707434161470225
76,2015-10-08,cntrl,none,0.0,none,78,1,2,3,0.85523198564313
77,2015-10-08,info,big,1.0,none,58,1,4,3,0.75369474164889
78,2015-10-08,Hungary,none,0.0,none,54,1,2,3,1.11819732523545
79,2015-10-08,cntrl,some,1.0,none,79,1,3,3,0.646572085408425
80,2015-10-08,history,DK,0.0,none,50,0,2,3,1.08615224731789
81,2015-10-08,Hungary,DK,0.0,none,25,1,3,3,1.23858029887209
82,2015-10-08,info,some,1.0,none,61,1,1,3,1.21147995389998
83,2015-10-08,history,none,0.0,none,62,0,2,2,0.636554719453869
84,2015-10-08,history,some,1.0,none,65,1,3,2,0.583578508378518
85,2015-10-08,cntrl,some,1.0,none,35,1,2,3,0.901048554458835
86,2015-10-08,history,none,0.0,none,47,1,4,3,0.859200667957232
87,2015-10-08,history,some,1.0,none,69,0,2,3,0.779270907327552
88,2015-10-08,Hungary,none,0.0,none,52,1,4,2,0.91922121875659
89,2015-10-08,history,some,1.0,none,69,1,4,2,0.675429604490129
90,2015-10-08,history,none,0.0,none,71,1,3,3,0.679734582166217
91,2015-10-08,cntrl,some,1.0,none,25,1,4,3,1.54211519976848
92,2015-10-08,history,DK,0.0,none,82,1,2,2,0.765319344460274
93,2015-10-08,info,some,1.0,none,19,0,1,2,1.30636639467262
94,2015-10-08,history,some,1.0,none,29,1,4,1,1.23971700977958
95,2015-10-08,cntrl,some,1.0,none,56,1,2,1,0.584186510430362
96,2015-10-08,history,none,0.0,none,60,0,2,1,1.17346529421197
97,2015-10-08,info,some,1.0,none,58,0,2,2,0.845878675880913
98,2015-10-08,cntrl,some,1.0,none,68,1,1,2,1.13007241476289
99,2015-10-08,info,some,1.0,none,55,0,2,2,1.07490386973296
100,2015-10-08,history,some,1.0,none,41,1,4,2,0.963992442368237
101,2015-10-08,Hungary,none,0.0,current,34,0,4,2,1.63888880371909
102,2015-10-09,info,some,1.0,none,26,1,4,1,0.930697487228142
103,2015-10-09,info,big,1.0,none,36,1,2,1,0.720284053952341
104,2015-10-09,Hungary,some,1.0,none,52,1,2,3,1.14781676967905
105,2015-10-08,info,none,0.0,none,85,1,1,1,0.824136085778337
106,2015-10-08,history,none,0.0,none,39,0,2,1,1.34808826371753
107,2015-10-08,cntrl,none,0.0,none,52,0,1,1,1.29381585081329
108,2015-10-08,cntrl,big,1.0,none,50,1,2,1,1.04143203787497
109,2015-10-09,info,none,0.0,none,25,0,2,3,1.41438254117755
110,2015-10-09,Hungary,some,1.0,none,30,1,4,2,1.29827647159996
111,2015-10-08,history,none,0.0,none,51,0,3,2,1.14162854913715
112,2015-10-09,Hungary,none,0.0,none,55,1,2,1,0.670281558154555
113,2015-10-09,info,none,0.0,none,38,0,2,1,0.927838525340404
114,2015-10-09,Hungary,big,1.0,none,59,0,2,1,0.730033956014689
115,2015-10-09,Hungary,some,1.0,none,80,1,1,1,0.821258591452106
116,2015-10-09,cntrl,DK,0.0,none,50,0,2,1,1.28098998610585
117,2015-10-09,info,big,1.0,none,80,0,1,2,1.25239872457336
118,2015-10-09,history,none,0.0,none,66,0,1,2,1.25239872457336
119,2015-10-09,history,none,0.0,none,77,0,2,2,0.859424968374014
120,2015-10-09,Hungary,big,1.0,none,62,1,2,2,0.510171362412959
121,2015-10-09,Hungary,big,1.0,none,30,1,2,1,0.699542308652016
122,2015-10-09,history,none,0.0,none,49,0,2,1,0.779546584257265
123,2015-10-09,info,none,0.0,none,51,0,2,1,0.573297840428364
124,2015-10-09,Hungary,some,1.0,none,44,0,2,2,1.33827983744265
125,2015-10-09,Hungary,some,1.0,none,37,0,4,3,1.11370308970091
126,2015-10-09,history,none,0.0,none,63,1,4,2,0.804607399290318
127,2015-10-09,cntrl,big,1.0,none,69,1,2,2,0.913003561962992
128,2015-10-09,info,DK,0.0,none,71,1,1,1,1.7506117565931
129,2015-10-09,history,DK,0.0,none,56,1,2,1,1.34902310384198
130,2015-10-09,Hungary,none,0.0,none,40,1,2,1,1.4213813929318
131,2015-10-09,cntrl,some,1.0,none,19,1,3,1,1.06225538242195
132,2015-10-09,info,some,1.0,none,42,1,2,1,1.11853370745945
133,2015-10-09,history,none,0.0,none,21,1,2,1,0.83592514794246
134,2015-10-09,Hungary,big,1.0,none,58,0,1,1,2.42654216956415
135,2015-10-09,Hungary,none,0.0,none,30,0,2,1,2.48082299333913
136,2015-10-09,info,none,0.0,none,43,0,1,1,1.9576451503724
137,2015-10-09,cntrl,some,1.0,none,63,1,2,1,0.677188680811459
138,2015-10-09,info,DK,0.0,none,21,1,3,1,0.601114393980743
139,2015-10-09,Hungary,none,0.0,none,67,0,1,1,0.947356663108112
140,2015-10-09,cntrl,big,1.0,none,58,1,3,1,0.518217307347237
141,2015-10-09,info,DK,0.0,none,42,0,2,1,1.19520891685369
142,2015-10-09,cntrl,some,1.0,none,64,1,1,1,1.00035515364594
143,2015-10-09,Hungary,some,1.0,none,38,1,3,2,0.781837568459839
144,2015-10-09,history,big,1.0,none,27,0,4,2,0.983331642628206
145,2015-10-09,history,some,1.0,none,54,1,2,2,0.969197418301602
146,2015-10-09,cntrl,none,0.0,none,72,1,2,2,0.665536812552906
147,2015-10-09,Hungary,DK,0.0,none,78,1,1,2,0.909984839500705
148,2015-10-09,Hungary,some,1.0,none,84,0,4,2,0.627395736847683
149,2015-10-09,history,none,0.0,none,23,0,4,2,0.909945081553434
150,2015-10-09,Hungary,none,0.0,past,72,0,2,3,0.765604813690014
151,2015-10-09,cntrl,none,0.0,none,65,0,4,3,0.561502625589313
152,2015-10-09,history,big,1.0,none,58,0,2,1,0.653744499939362
153,2015-10-09,history,DK,0.0,none,57,0,2,1,0.457707997323899
154,2015-10-09,cntrl,some,1.0,none,78,1,3,1,0.471639364753956
155,2015-10-09,info,big,1.0,none,45,0,2,1,0.792289317017919
156,2015-10-09,info,DK,0.0,none,43,0,2,3,1.11219771864794
157,2015-10-09,history,none,0.0,none,59,1,3,2,0.680615333283437
158,2015-10-09,Hungary,some,1.0,none,31,1,1,3,1.88580482069305
159,2015-10-09,cntrl,none,0.0,none,34,1,4,2,1.01123761856731
160,2015-10-09,info,some,1.0,none,20,1,3,3,1.24038799312415
161,2015-10-09,cntrl,DK,0.0,none,69,0,1,1,0.960336394225949
162,2015-10-09,cntrl,none,0.0,none,69,0,1,1,0.960336394225949
163,2015-10-09,history,some,1.0,none,28,0,2,2,1.28269055525026
164,2015-10-09,info,none,0.0,none,65,0,3,2,0.526930248945965
165,2015-10-09,Hungary,some,1.0,none,48,1,4,2,1.0038818218028
166,2015-10-09,history,some,1.0,none,30,1,4,1,1.0872089253379
167,2015-10-09,history,none,0.0,none,46,0,2,2,1.03070823389512
168,2015-10-09,info,none,0.0,none,54,1,2,1,1.07586052339763
169,2015-10-09,cntrl,none,0.0,none,40,1,2,1,0.829751017021988
170,2015-10-09,cntrl,DK,0.0,none,65,1,3,1,0.58137219403465
171,2015-10-09,info,none,0.0,none,49,0,1,1,2.06058048492219
172,2015-10-09,history,big,1.0,current,38,1,4,3,1.04364856153397
173,2015-10-09,Hungary,none,0.0,none,55,1,4,3,0.691454498628761
174,2015-10-09,history,big,1.0,none,84,0,2,3,0.834935323745871
175,2015-10-09,Hungary,DK,0.0,none,47,1,2,2,0.896646302855939
176,2015-10-09,history,some,1.0,none,65,0,2,2,0.63996094267363
177,2015-10-09,Hungary,DK,0.0,none,68,1,2,1,0.39075719779235
178,2015-10-09,Hungary,DK,0.0,none,24,1,4,1,0.493615823515109
179,2015-10-09,history,DK,0.0,none,52,0,2,1,0.613451910488366
180,2015-10-09,cntrl,big,1.0,none,61,0,2,1,0.541632840595762
181,2015-10-09,history,big,1.0,none,78,1,1,1,1.7506117565931
182,2015-10-09,history,some,1.0,none,27,1,4,1,2.00433761070344
183,2015-10-09,Hungary,none,0.0,none,70,0,1,1,2.01940500761335
184,2015-10-09,Hungary,none,0.0,none,80,1,4,3,0.588387371436154
185,2015-10-09,Hungary,none,0.0,none,23,1,3,3,0.720554319930334
186,2015-10-09,history,some,1.0,none,19,0,1,3,1.64701187824687
187,2015-10-09,Hungary,none,0.0,none,66,1,4,2,0.65605975776907
188,2015-10-08,Hungary,none,0.0,none,49,1,2,3,0.919379516339038
189,2015-10-09,info,some,1.0,none,58,0,2,3,0.688638199869533
190,2015-10-09,Hungary,none,0.0,none,48,0,4,3,0.923712625522885
191,2015-10-09,cntrl,some,1.0,none,40,1,2,1,1.02758690304341
192,2015-10-09,Hungary,none,0.0,none,67,0,4,1,0.610796928470018
193,2015-10-09,cntrl,none,0.0,none,48,0,1,1,1.07773861853044
194,2015-10-09,info,none,0.0,none,73,1,1,1,0.825654065416682
195,2015-10-09,info,some,1.0,none,36,1,3,1,0.75571282623033
196,2015-10-09,history,some,1.0,none,47,1,2,1,2.36712973802035
197,2015-10-09,cntrl,big,1.0,none,80,1,1,1,1.7506117565931
198,2015-10-10,cntrl,some,1.0,none,42,0,4,2,0.895437133158792
199,2015-10-10,cntrl,none,0.0,none,37,0,2,2,1.09571903796646
200,2015-10-09,Hungary,some,1.0,none,26,0,3,1,1.53443134862666
201,2015-10-09,cntrl,none,0.0,none,41,1,3,1,1.43491810848849
202,2015-10-09,history,none,0.0,none,19,1,1,3,1.93416010465821
203,2015-10-09,history,big,1.0,none,40,0,2,3,1.25271726355009
204,2015-10-09,info,some,1.0,none,41,1,2,3,1.0148906624621
205,2015-10-10,cntrl,DK,0.0,none,65,0,4,1,0.560447469430194
206,2015-10-10,history,some,1.0,current,35,1,4,2,0.635437263718171
207,2015-10-10,Hungary,some,1.0,none,59,1,2,2,0.680615333283437
208,2015-10-10,info,none,0.0,none,56,0,2,2,0.785118691859937
209,2015-10-10,info,none,0.0,none,55,1,2,2,0.680615333283437
210,2015-10-10,info,none,0.0,none,59,0,2,3,0.936381612908666
211,2015-10-10,info,none,0.0,none,74,1,2,3,0.631327427494556
212,2015-10-10,history,none,0.0,none,55,1,2,3,0.59697689378095
213,2015-10-10,cntrl,none,0.0,none,63,1,2,3,0.758610887782503
214,2015-10-10,info,DK,0.0,none,71,1,1,1,0.832510653226062
215,2015-10-10,info,some,1.0,none,56,1,3,1,0.641533510309663
216,2015-10-10,Hungary,big,1.0,none,59,1,1,1,1.00035515364594
217,2015-10-10,history,none,0.0,none,54,1,4,1,0.677179132318586
218,2015-10-10,history,none,0.0,none,46,1,2,1,0.726599142527788
219,2015-10-10,cntrl,big,1.0,none,80,0,2,2,0.699151220804639
220,2015-10-10,Hungary,some,1.0,none,51,1,1,2,1.84955343350159
221,2015-10-10,Hungary,big,1.0,past,64,0,2,2,1.47284029939294
222,2015-10-10,info,some,1.0,none,58,1,4,1,0.840116144612204
223,2015-10-10,info,some,1.0,none,53,0,1,1,2.47805101296245
224,2015-10-10,info,none,0.0,none,22,0,2,2,1.22782915380828
225,2015-10-10,info,none,0.0,none,39,1,2,1,1.61948152568544
226,2015-10-10,cntrl,big,1.0,none,73,1,1,1,1.14206333508728
227,2015-10-10,history,none,0.0,none,70,1,1,1,1.14206333508728
228,2015-10-10,Hungary,none,0.0,none,42,1,4,2,0.782040812772466
229,2015-10-10,history,big,1.0,past,32,1,4,2,1.04964658799694
230,2015-10-10,info,none,0.0,none,49,0,4,2,0.860219767509433
231,2015-10-10,info,none,0.0,none,22,1,3,2,0.852708936335723
232,2015-10-10,info,big,1.0,none,70,1,4,2,0.547943628653753
233,2015-10-10,Hungary,some,1.0,none,41,0,2,2,1.03574903766014
234,2015-10-10,Hungary,big,1.0,none,61,1,1,2,1.10160646856092
235,2015-10-10,history,big,1.0,none,23,1,4,1,0.502478067311751
236,2015-10-09,history,some,1.0,none,37,1,4,1,0.704312634017607
237,2015-10-10,history,DK,0.0,none,44,1,4,1,0.704312634017607
238,2015-10-09,history,none,0.0,none,70,0,2,1,0.65357745358048
239,2015-10-10,Hungary,none,0.0,none,56,1,2,2,0.728641351355846
240,2015-10-10,Hungary,some,1.0,none,60,0,2,2,0.899389100265789
241,2015-10-10,history,some,1.0,none,38,0,2,2,1.35749516795851
242,2015-10-10,cntrl,big,1.0,none,71,1,2,2,0.824538933644719
243,2015-10-10,cntrl,DK,0.0,none,34,0,4,3,1.30018199608556
244,2015-10-10,cntrl,DK,0.0,none,53,0,2,3,1.25947555779341
245,2015-10-10,info,DK,0.0,none,29,0,4,3,1.30018199608556
246,2015-10-10,cntrl,none,0.0,none,59,0,4,3,0.815570193363377
247,2015-10-10,Hungary,none,0.0,none,44,1,2,3,0.901048554458835
248,2015-10-10,cntrl,DK,0.0,none,60,0,1,2,1.2590209776191
249,2015-10-10,info,some,1.0,none,57,0,4,2,0.63538440231586
250,2015-10-10,cntrl,none,0.0,none,53,0,2,2,1.35893080767278
251,2015-10-10,cntrl,some,1.0,none,22,0,2,2,1.13964467262702
252,2015-10-10,history,some,1.0,none,22,1,1,2,2.49068645968587
253,2015-10-10,history,some,1.0,none,37,1,4,2,1.86154845894932
254,2015-10-10,info,some,1.0,none,30,0,2,1,1.16382012715184
255,2015-10-10,info,big,1.0,none,63,0,2,2,0.860952738408834
256,2015-10-10,cntrl,none,0.0,none,38,0,3,2,0.955670580778758
257,2015-10-10,cntrl,none,0.0,none,23,1,4,2,0.784627266156561
258,2015-10-10,Hungary,DK,0.0,none,77,0,1,1,0.947356663108112
259,2015-10-10,history,none,0.0,none,55,0,2,3,0.998206986902449
260,2015-10-10,history,some,1.0,none,26,1,4,2,1.17213628737803
261,2015-10-10,cntrl,DK,0.0,none,23,0,2,2,0.864386281596632
262,2015-10-10,history,none,0.0,none,44,0,1,2,1.68548231910262
263,2015-10-10,history,none,0.0,none,62,0,2,1,0.477664863251493
264,2015-10-10,Hungary,none,0.0,none,60,0,2,1,0.890038208056932
265,2015-10-09,Hungary,none,0.0,none,52,0,4,3,0.994538472759243
266,2015-10-10,info,big,1.0,none,68,1,1,1,0.821258591452106
267,2015-10-10,info,big,1.0,none,83,0,1,1,0.947356663108112
268,2015-10-10,history,none,0.0,current,63,1,4,1,0.464148133940433
269,2015-10-10,info,some,1.0,current,35,1,4,1,0.700563136527779
270,2015-10-10,Hungary,some,1.0,none,28,0,4,1,1.19730210789097
271,2015-10-10,info,none,0.0,none,42,1,2,1,0.887867196990437
272,2015-10-10,info,some,1.0,current,50,1,4,1,0.791214440704211
273,2015-10-10,Hungary,some,1.0,none,32,0,3,1,1.17976562361396
274,2015-10-10,Hungary,some,1.0,none,61,1,2,1,0.606421621698889
275,2015-10-10,info,big,1.0,none,29,1,4,1,0.842026865650138
276,2015-10-10,info,none,0.0,current,59,1,4,2,0.542506061045315
277,2015-10-10,info,DK,0.0,none,83,0,1,1,0.848356713938074
278,2015-10-10,history,some,1.0,none,21,1,3,1,0.684043411549415
279,2015-10-10,Hungary,some,1.0,none,39,0,4,1,0.723678810300175
280,2015-10-10,Hungary,DK,0.0,none,40,0,2,1,0.965464682133842
281,2015-10-10,Hungary,none,0.0,none,36,0,4,2,0.926789047463964
282,2015-10-10,info,none,0.0,none,64,1,1,1,1.02685312786623
283,2015-10-09,cntrl,none,0.0,none,67,1,2,2,1.39949748869368
284,2015-10-09,cntrl,none,0.0,none,64,0,4,3,1.22471828966088
285,2015-10-10,history,none,0.0,none,51,0,4,3,1.98929510633061
286,2015-10-10,Hungary,none,0.0,none,24,1,4,3,1.44623126635411
287,2015-10-10,Hungary,some,1.0,current,30,0,4,3,2.80005448738786
288,2015-10-10,Hungary,some,1.0,none,68,1,2,2,1.49751899906221
289,2015-10-10,info,some,1.0,none,67,0,2,1,0.904043082495184
290,2015-10-10,info,none,0.0,none,66,0,2,1,0.84486809477223
291,2015-10-10,cntrl,big,1.0,none,60,1,1,1,1.37231750562885
292,2015-10-10,cntrl,none,0.0,none,49,1,2,1,1.54426706721596
293,2015-10-10,cntrl,some,1.0,none,67,1,2,1,0.732411781639925
294,2015-10-10,history,some,1.0,none,48,0,2,1,1.78137764520517
295,2015-10-10,info,some,1.0,none,53,1,2,1,1.35536740632414
296,2015-10-10,Hungary,some,1.0,none,65,0,1,3,1.2167111417986
297,2015-10-10,info,big,1.0,none,66,0,1,2,1.25239872457336
298,2015-10-10,cntrl,big,1.0,none,75,1,1,2,1.085697976837
299,2015-10-10,history,none,0.0,none,28,1,4,3,1.18491437924878
300,2015-10-10,history,some,1.0,none,54,1,3,2,1.18612924857238
301,2015-10-10,info,some,1.0,none,73,0,2,1,0.806507674906665
302,2015-10-10,cntrl,some,1.0,none,46,0,2,2,1.46408341454596
303,2015-10-10,history,none,0.0,none,64,1,4,2,0.768074977419141
304,2015-10-10,Hungary,some,1.0,none,25,0,2,2,2.44734063534847
305,2015-10-10,cntrl,none,0.0,none,45,1,2,2,1.61284927136887
306,2015-10-10,cntrl,none,0.0,none,60,0,2,1,0.773198243385727
307,2015-10-10,cntrl,big,1.0,none,61,1,2,1,0.626407650215074
308,2015-10-10,history,none,0.0,none,63,0,4,1,0.946154392094488
309,2015-10-10,history,some,1.0,none,42,0,2,3,1.03939777402048
310,2015-10-10,history,DK,0.0,none,78,1,2,3,0.631327427494556
311,2015-10-10,Hungary,some,1.0,none,21,1,3,1,0.763868633488348
312,2015-10-10,history,big,1.0,none,38,0,1,1,1.1242136023323
313,2015-10-10,history,big,1.0,none,34,0,2,1,1.16382012715184
314,2015-10-10,info,none,0.0,none,21,0,2,1,0.693410982064669
315,2015-10-10,Hungary,big,1.0,none,58,1,2,1,0.632862660681379
316,2015-10-10,history,some,1.0,none,48,1,3,1,0.910849358571915
317,2015-10-10,cntrl,some,1.0,none,49,1,4,1,0.668026502980623
318,2015-10-10,info,DK,0.0,none,39,1,2,1,1.71454436743171
319,2015-10-10,history,none,0.0,none,60,0,2,1,1.2245920230959
320,2015-10-10,cntrl,none,0.0,none,62,1,4,1,0.880075104763319
321,2015-10-10,history,none,0.0,none,54,0,2,1,1.23035114033387
322,2015-10-10,cntrl,some,1.0,none,60,0,2,1,0.623148569780254
323,2015-10-10,info,big,1.0,none,53,0,2,3,1.32020755226503
324,2015-10-10,Hungary,none,0.0,past,51,0,4,3,1.23041296417314
325,2015-10-09,Hungary,DK,0.0,none,69,1,3,1,0.694395115903649
326,2015-10-10,cntrl,none,0.0,none,57,0,2,1,0.69953309462915
327,2015-10-10,info,DK,0.0,none,45,0,2,1,0.792289317017919
328,2015-10-10,history,DK,0.0,none,34,1,2,1,1.30810975567411
329,2015-10-10,info,big,1.0,none,41,1,2,1,0.915303977954067
330,2015-10-10,info,none,0.0,none,29,0,4,2,1.88027755793408
331,2015-10-10,info,none,0.0,none,57,1,2,2,1.17391622082117
332,2015-10-10,info,DK,0.0,none,76,1,4,2,0.913003561962992
333,2015-10-10,info,big,1.0,none,58,1,2,3,0.697191881917556
334,2015-10-10,info,none,0.0,none,21,0,3,1,0.972660911364959
335,2015-10-10,Hungary,some,1.0,current,39,0,2,1,0.878986201377302
336,2015-10-10,Hungary,none,0.0,none,52,1,2,1,0.777490513150774
337,2015-10-10,info,big,1.0,none,79,1,1,1,0.832510653226062
338,2015-10-10,info,some,1.0,none,23,1,3,1,0.609350260691527
339,2015-10-10,info,none,0.0,past,39,0,2,3,1.03939777402048
340,2015-10-10,cntrl,none,0.0,none,79,0,2,3,0.728262999334176
341,2015-10-10,info,DK,0.0,none,68,1,1,1,1.01024080242217
342,2015-10-10,history,big,1.0,none,41,1,3,1,0.782172577440012
343,2015-10-10,Hungary,some,1.0,none,35,0,2,1,1.30636066677313
344,2015-10-10,Hungary,some,1.0,none,54,0,2,1,0.920625082492612
345,2015-10-10,cntrl,some,1.0,none,73,1,1,1,0.854562667200198
346,2015-10-10,history,none,0.0,none,19,0,2,1,0.772066881422968
347,2015-10-10,info,none,0.0,past,31,0,4,1,1.12864806007056
348,2015-10-10,info,some,1.0,none,72,0,2,3,0.625491306498945
349,2015-10-10,history,big,1.0,none,47,1,2,2,0.933104869685263
350,2015-10-10,cntrl,none,0.0,none,56,1,4,1,0.626407650215074
351,2015-10-10,info,some,1.0,none,47,1,2,1,0.709467633731905
352,2015-10-10,info,none,0.0,none,33,0,4,1,1.07359907712451
353,2015-10-10,info,none,0.0,none,64,0,4,2,0.769237437672803
354,2015-10-10,cntrl,none,0.0,none,60,1,4,2,0.563062480530505
355,2015-10-10,cntrl,none,0.0,none,73,0,2,3,0.617037280364234
356,2015-10-10,cntrl,none,0.0,none,23,1,4,1,0.60433162993538
357,2015-10-10,history,none,0.0,none,57,0,4,1,0.538280187050022
358,2015-10-10,Hungary,none,0.0,none,51,0,2,1,0.889481686082738
359,2015-10-10,Hungary,none,0.0,none,67,1,1,1,0.569431694611907
360,2015-10-10,info,none,0.0,none,31,1,2,1,1.012840147545
361,2015-10-10,history,DK,0.0,none,43,0,4,1,0.560328328582713
362,2015-10-10,history,none,0.0,none,33,0,2,1,0.863471070377293
363,2015-10-10,info,some,1.0,none,80,0,1,1,0.656863642816446
364,2015-10-10,cntrl,some,1.0,none,41,1,2,1,0.557699844615443
365,2015-10-10,history,none,0.0,none,54,1,4,1,0.496988932729977
366,2015-10-10,cntrl,none,0.0,none,57,1,2,1,0.345310380181663
367,2015-10-11,history,some,1.0,none,21,1,3,1,0.794845403894251
368,2015-10-11,Hungary,none,0.0,none,71,1,3,2,0.604011325722691
369,2015-10-11,cntrl,none,0.0,none,79,1,3,2,0.604011325722691
370,2015-10-11,Hungary,none,0.0,none,56,0,2,3,0.612679165669152
371,2015-10-10,Hungary,none,0.0,none,41,1,2,1,1.53542049694256
372,2015-10-10,history,DK,0.0,none,36,0,2,1,1.2233028854983
373,2015-10-10,history,,,none,68,0,1,1,1.24903645184491
374,2015-10-10,history,DK,0.0,none,60,0,2,1,0.810481913681833
375,2015-10-10,history,none,0.0,none,31,0,2,1,1.53443134862666
376,2015-10-11,info,some,1.0,none,45,1,4,2,0.74019802827535
377,2015-10-10,info,none,0.0,none,76,1,1,2,0.90455395222731
378,2015-10-10,cntrl,big,1.0,none,69,1,2,2,0.580095649152073
379,2015-10-10,Hungary,big,1.0,current,30,1,3,2,1.11123733720629
380,2015-10-09,info,none,0.0,none,72,1,1,2,0.9958095244942
