"country","ID","countr","age_group","gender_bin","education","manipulation_check2","party","party2","education_bin","policy_ai_offshoregr_1","policy_ai_offshoregr_2","policy_ai_offshoregr_3","policy_ai_offshoregr_4","policy_ai_offshoregr_5","policy_ai_offshoregr_6","tables_policygr_1","tables_policygr_2","tables_policygr_3","tables_policygr_4","tables_policygr_5","tables_policygr_6","treat_offshoring","qtable_1","qtable_2","qtable_3","qtable_4","price_after_1","price_after_2","price_after_3","price_after_4","cs_after_1","cs_after_2","cs_after_3","cs_after_4","factory_after_1","factory_after_2","factory_after_3","factory_after_4","ds_after_1","ds_after_2","ds_after_3","ds_after_4","income","GeoPC_Region1","region","gender"
1,11,"US","45 to 64","Woman","Some college","Pass","Other","Other","No college",5,5,5,5,5,5,3,5,5,5,5,5,"Offshoring",1,1,1,1,"Decreases to 300$","Decreases to 300$","Decreases to 300$","Decreases to 300$","Decrease to 75","Increase to 125","Unchanged at 100","Decrease to 75","Unchanged at 400","Decrease to 300","Increase to 500","Increase to 500","Decrease to 150","Unchanged at 200","Increase to 250","Increase to 250","Middle",NA,2,"Woman"
1,12,"US","65 or older","Man","Some college","Fail","Other","Other","No college",4,2,4,1,2,NA,4,4,4,5,4,4,"AI",3,2,2,3,"Decreases to 450$","Decreases to 300$","Decreases to 300$","Decreases to 300$","Increase to 125","Unchanged at 100","Increase to 125","Unchanged at 100","Decrease to 300","Unchanged at 400","Decrease to 300","Unchanged at 400","Unchanged at 200","Increase to 250","Decrease to 150","Increase to 250","Middle",NA,2,"Man"
1,13,"US","18 to 29","Woman","Some college","Fail","Democratic","Democratic","No college",3,5,5,1,3,4,5,4,1,4,5,4,"Offshoring",3,5,4,5,"Decreases to 450$","Unchanged at 600$","Decreases to 450$","Unchanged at 600$","Increase to 125","Unchanged at 100","Increase to 125","Unchanged at 100","Increase to 500","Decrease to 300","Decrease to 300","Decrease to 300","Increase to 250","Increase to 250","Unchanged at 200","Increase to 250","Middle",NA,1,"Woman"
1,14,"US","30 to 44","Man","College grad","Fail","Republican","Republican","College",4,3,5,2,4,4,4,3,4,3,4,4,"AI",4,3,4,4,"Decreases to 300$","Unchanged at 600$","Decreases to 450$","Unchanged at 600$","Decrease to 75","Decrease to 75","Unchanged at 100","Unchanged at 100","Decrease to 300","Increase to 500","Increase to 500","Unchanged at 400","Decrease to 150","Increase to 250","Increase to 250","Unchanged at 200","High",NA,3,"Man"
1,15,"US","65 or older","Woman","Some college","Pass","Republican","Republican","No college",4,5,5,5,4,4,4,4,4,5,4,4,"Offshoring",2,4,4,4,"Decreases to 450$","Decreases to 300$","Decreases to 450$","Decreases to 450$","Decrease to 75","Decrease to 75","Increase to 125","Decrease to 75","Decrease to 300","Unchanged at 400","Unchanged at 400","Increase to 500","Decrease to 150","Increase to 250","Increase to 250","Increase to 250","Low",NA,2,"Woman"
1,16,"US","45 to 64","Man","College grad","Pass","Republican","Republican","College",4,4,5,4,4,3,5,5,5,3,3,4,"Offshoring",2,2,4,5,"Unchanged at 600$","Decreases to 300$","Decreases to 300$","Decreases to 300$","Increase to 125","Decrease to 75","Decrease to 75","Increase to 125","Unchanged at 400","Decrease to 300","Unchanged at 400","Unchanged at 400","Increase to 250","Unchanged at 200","Increase to 250","Increase to 250","Middle",NA,1,"Man"
1,17,"US","18 to 29","Woman","HS or less","Pass","Democratic","Democratic","No college",5,5,5,3,2,3,5,5,4,2,1,4,"Offshoring",5,1,3,4,"Decreases to 450$","Unchanged at 600$","Decreases to 450$","Unchanged at 600$","Unchanged at 100","Increase to 125","Decrease to 75","Decrease to 75","Increase to 500","Unchanged at 400","Increase to 500","Increase to 500","Increase to 250","Decrease to 150","Unchanged at 200","Increase to 250","High",NA,1,"Woman"
1,18,"US","30 to 44","Man","HS or less","Fail","Republican","Republican","No college",4,4,4,4,4,5,5,4,4,5,5,5,"Offshoring",4,4,5,5,"Unchanged at 600$","Decreases to 300$","Decreases to 300$","Decreases to 300$","Decrease to 75","Unchanged at 100","Unchanged at 100","Unchanged at 100","Increase to 500","Decrease to 300","Increase to 500","Increase to 500","Decrease to 150","Decrease to 150","Decrease to 150","Unchanged at 200","Middle",NA,3,"Man"
1,19,"US","18 to 29","Woman","Some college","Pass","Democratic","Democratic","No college",4,3,4,3,3,5,3,4,4,4,3,5,"AI",4,3,4,3,"Unchanged at 600$","Unchanged at 600$","Unchanged at 600$","Unchanged at 600$","Unchanged at 100","Unchanged at 100","Unchanged at 100","Decrease to 75","Increase to 500","Increase to 500","Increase to 500","Unchanged at 400","Increase to 250","Decrease to 150","Decrease to 150","Decrease to 150",NA,NA,1,"Woman"
1,20,"US","65 or older","Woman","Some college","Fail","Other","Other","No college",5,4,5,NA,NA,5,3,4,5,2,5,NA,"AI",NA,NA,NA,NA,"Unchanged at 600$","Decreases to 450$","Decreases to 300$","Decreases to 300$","Increase to 125","Increase to 125","Decrease to 75","Increase to 125","Decrease to 300","Unchanged at 400","Increase to 500","Unchanged at 400","Decrease to 150","Unchanged at 200","Unchanged at 200","Decrease to 150","Middle",NA,2,"Woman"
1,21,"US","30 to 44","Woman","College grad","Pass","Republican","Republican","College",2,1,3,4,3,2,1,1,2,4,3,2,"AI",4,5,4,2,"Decreases to 300$","Decreases to 450$","Decreases to 450$","Unchanged at 600$","Decrease to 75","Unchanged at 100","Unchanged at 100","Unchanged at 100","Decrease to 300","Unchanged at 400","Decrease to 300","Unchanged at 400","Unchanged at 200","Unchanged at 200","Increase to 250","Increase to 250","High",NA,2,"Woman"
1,22,"US","30 to 44","Woman","Postgrad","Fail","Other","Other","College",4,5,4,3,5,4,5,4,5,2,5,4,"AI",4,5,5,4,"Decreases to 450$","Unchanged at 600$","Unchanged at 600$","Decreases to 450$","Unchanged at 100","Unchanged at 100","Increase to 125","Decrease to 75","Decrease to 300","Decrease to 300","Unchanged at 400","Decrease to 300","Decrease to 150","Decrease to 150","Unchanged at 200","Decrease to 150","High",NA,3,"Woman"
1,23,"US","65 or older","Man","College grad","Fail","Other","Other","College",5,5,4,2,3,3,4,4,4,1,3,3,"Offshoring",3,4,3,4,"Unchanged at 600$","Decreases to 450$","Unchanged at 600$","Decreases to 450$","Unchanged at 100","Increase to 125","Decrease to 75","Unchanged at 100","Decrease to 300","Increase to 500","Unchanged at 400","Unchanged at 400","Unchanged at 200","Unchanged at 200","Unchanged at 200","Increase to 250","Middle",NA,1,"Man"
2,24,"Canada","18 to 29","Man","Some college","Fail","CPC","CPC","No college",4,4,5,4,5,4,4,5,5,3,5,4,"Offshoring",4,3,4,5,"Decreases to 450$","Decreases to 450$","Decreases to 300$","Decreases to 450$","Increase to 125","Unchanged at 100","Unchanged at 100","Increase to 125","Unchanged at 400","Decrease to 300","Decrease to 300","Unchanged at 400","Decrease to 150","Unchanged at 200","Unchanged at 200","Increase to 250","Middle",1,NA,"Man"
2,25,"Canada","30 to 44","Woman","Some college","Fail","NDP","NDP","No college",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Offshoring",NA,NA,NA,NA,"Unchanged at 600$","Decreases to 300$","Unchanged at 600$","Decreases to 300$","Decrease to 75","Unchanged at 100","Unchanged at 100","Increase to 125","Increase to 500","Unchanged at 400","Increase to 500","Increase to 500","Decrease to 150","Unchanged at 200","Decrease to 150","Increase to 250","High",3,NA,"Woman"
2,26,"Canada","45 to 64","Man","College grad","Pass","CPC","CPC","College",4,1,5,5,1,5,4,1,4,4,4,5,"Offshoring",4,5,5,5,"Decreases to 450$","Decreases to 300$","Decreases to 450$","Decreases to 300$","Increase to 125","Increase to 125","Unchanged at 100","Unchanged at 100","Increase to 500","Unchanged at 400","Increase to 500","Unchanged at 400","Decrease to 150","Unchanged at 200","Decrease to 150","Unchanged at 200","Middle",2,NA,"Man"
2,27,"Canada","30 to 44","Woman","Some college","Pass","NDP","NDP","No college",5,5,5,1,3,5,5,5,5,1,2,3,"Offshoring",5,5,1,4,"Decreases to 300$","Decreases to 450$","Unchanged at 600$","Decreases to 300$","Increase to 125","Unchanged at 100","Unchanged at 100","Decrease to 75","Decrease to 300","Increase to 500","Increase to 500","Decrease to 300","Decrease to 150","Decrease to 150","Decrease to 150","Decrease to 150","Middle",2,NA,"Woman"
1,28,"US","45 to 64","Woman","Some college","Pass","Democratic","Democratic","No college",3,NA,4,4,NA,5,NA,NA,4,NA,NA,4,"AI",2,4,1,2,"Unchanged at 600$","Decreases to 450$","Unchanged at 600$","Unchanged at 600$","Increase to 125","Increase to 125","Decrease to 75","Unchanged at 100","Decrease to 300","Decrease to 300","Decrease to 300","Increase to 500","Unchanged at 200","Unchanged at 200","Increase to 250","Unchanged at 200","Middle",NA,3,"Woman"
2,29,"Canada","30 to 44","Woman","College grad","Pass","Other","Other","College",3,3,3,3,3,3,3,3,4,1,NA,4,"Offshoring",NA,3,3,3,"Decreases to 300$","Decreases to 300$","Unchanged at 600$","Unchanged at 600$","Increase to 125","Increase to 125","Decrease to 75","Decrease to 75","Decrease to 300","Increase to 500","Decrease to 300","Decrease to 300","Increase to 250","Unchanged at 200","Increase to 250","Decrease to 150","High",11,NA,"Woman"
2,30,"Canada","18 to 29","Woman","Postgrad","Fail","NDP","NDP","College",3,4,4,2,3,4,3,4,4,2,4,4,"Offshoring",4,4,2,3,"Decreases to 300$","Decreases to 300$","Decreases to 300$","Decreases to 450$","Increase to 125","Unchanged at 100","Increase to 125","Unchanged at 100","Unchanged at 400","Increase to 500","Decrease to 300","Increase to 500","Unchanged at 200","Increase to 250","Decrease to 150","Decrease to 150","Middle",9,NA,"Woman"
1,31,"US","30 to 44","Woman","HS or less","Pass","Democratic","Democratic","No college",5,5,5,5,5,5,4,4,4,4,4,4,"AI",5,4,5,3,"Decreases to 300$","Decreases to 300$","Unchanged at 600$","Unchanged at 600$","Increase to 125","Increase to 125","Increase to 125","Decrease to 75","Unchanged at 400","Unchanged at 400","Increase to 500","Increase to 500","Increase to 250","Decrease to 150","Unchanged at 200","Unchanged at 200","Middle",NA,3,"Woman"
2,32,"Canada","30 to 44","Woman","HS or less","Fail","Other","Other","No college",5,5,5,5,4,4,5,5,1,5,4,NA,"Offshoring",4,4,4,4,"Decreases to 300$","Unchanged at 600$","Unchanged at 600$","Decreases to 450$","Decrease to 75","Decrease to 75","Unchanged at 100","Unchanged at 100","Increase to 500","Decrease to 300","Increase to 500","Decrease to 300","Decrease to 150","Unchanged at 200","Increase to 250","Decrease to 150","Low",11,NA,"Woman"
2,33,"Canada","30 to 44","Man","HS or less","Fail","Other","Other","No college",4,5,5,3,3,5,4,5,5,3,3,5,"AI",NA,NA,NA,NA,"Decreases to 300$","Decreases to 450$","Decreases to 450$","Unchanged at 600$","Decrease to 75","Increase to 125","Increase to 125","Unchanged at 100","Unchanged at 400","Increase to 500","Increase to 500","Decrease to 300","Increase to 250","Increase to 250","Unchanged at 200","Unchanged at 200","Middle",2,NA,"Man"
2,34,"Canada","65 or older","Man","HS or less","Fail","LPC","LPC","No college",2,2,2,4,2,4,4,4,4,4,4,4,"AI",3,4,4,3,"Decreases to 450$","Unchanged at 600$","Unchanged at 600$","Unchanged at 600$","Decrease to 75","Increase to 125","Increase to 125","Decrease to 75","Decrease to 300","Decrease to 300","Increase to 500","Increase to 500","Increase to 250","Unchanged at 200","Decrease to 150","Decrease to 150","Middle",1,NA,"Man"
2,35,"Canada","65 or older","Woman","Postgrad","Pass","NDP","NDP","College",4,5,5,3,2,4,4,5,5,2,NA,5,"Offshoring",4,2,2,2,"Decreases to 450$","Decreases to 300$","Unchanged at 600$","Unchanged at 600$","Increase to 125","Increase to 125","Unchanged at 100","Unchanged at 100","Decrease to 300","Decrease to 300","Increase to 500","Unchanged at 400","Increase to 250","Decrease to 150","Unchanged at 200","Unchanged at 200","Middle",2,NA,"Woman"
2,36,"Canada","45 to 64","Man","Postgrad","Pass","LPC","LPC","College",3,2,4,2,NA,NA,4,2,4,2,3,4,"Offshoring",3,4,4,3,"Unchanged at 600$","Decreases to 450$","Decreases to 300$","Unchanged at 600$","Unchanged at 100","Unchanged at 100","Unchanged at 100","Unchanged at 100","Unchanged at 400","Decrease to 300","Decrease to 300","Decrease to 300","Decrease to 150","Decrease to 150","Increase to 250","Increase to 250","Middle",11,NA,"Man"
2,37,"Canada","30 to 44","Woman","Postgrad","Pass","NDP","NDP","College",5,5,5,2,3,5,5,5,4,1,3,5,"AI",3,NA,2,2,"Unchanged at 600$","Decreases to 450$","Decreases to 450$","Decreases to 300$","Decrease to 75","Unchanged at 100","Unchanged at 100","Increase to 125","Increase to 500","Decrease to 300","Decrease to 300","Decrease to 300","Decrease to 150","Unchanged at 200","Increase to 250","Decrease to 150","High",9,NA,"Woman"
2,38,"Canada","45 to 64",NA,"College grad","Pass","Other","Other","College",4,5,2,NA,2,4,4,5,4,2,2,5,"Offshoring",1,1,1,1,"Unchanged at 600$","Unchanged at 600$","Decreases to 450$","Decreases to 300$","Decrease to 75","Increase to 125","Increase to 125","Increase to 125","Unchanged at 400","Unchanged at 400","Unchanged at 400","Unchanged at 400","Increase to 250","Unchanged at 200","Increase to 250","Unchanged at 200",NA,4,NA,"Other"
2,39,"Canada","65 or older","Man","Postgrad","Fail","Other","Other","College",4,4,4,2,2,4,4,4,4,4,4,4,"AI",5,4,4,4,"Unchanged at 600$","Unchanged at 600$","Decreases to 450$","Decreases to 450$","Increase to 125","Increase to 125","Decrease to 75","Unchanged at 100","Decrease to 300","Increase to 500","Decrease to 300","Increase to 500","Unchanged at 200","Increase to 250","Unchanged at 200","Unchanged at 200","High",9,NA,"Man"
2,40,"Canada","65 or older","Man","Some college","Pass","CPC","CPC","No college",1,1,5,5,1,1,1,1,4,5,1,1,"Offshoring",3,4,2,3,"Decreases to 450$","Decreases to 300$","Decreases to 300$","Decreases to 300$","Increase to 125","Increase to 125","Increase to 125","Increase to 125","Unchanged at 400","Increase to 500","Decrease to 300","Increase to 500","Decrease to 150","Unchanged at 200","Unchanged at 200","Unchanged at 200","Middle",1,NA,"Man"
2,41,"Canada","45 to 64","Woman","Some college","Pass","CPC","CPC","No college",2,1,3,5,5,5,3,1,3,5,5,5,"AI",2,1,1,1,"Unchanged at 600$","Decreases to 300$","Unchanged at 600$","Unchanged at 600$","Unchanged at 100","Unchanged at 100","Increase to 125","Unchanged at 100","Increase to 500","Decrease to 300","Unchanged at 400","Increase to 500","Increase to 250","Increase to 250","Unchanged at 200","Increase to 250","Middle",5,NA,"Woman"
1,42,"US","45 to 64","Woman","Some college","Pass","Democratic","Democratic","No college",3,2,4,2,2,4,4,3,4,3,3,4,"Offshoring",4,4,3,5,"Decreases to 450$","Unchanged at 600$","Decreases to 300$","Decreases to 300$","Increase to 125","Increase to 125","Decrease to 75","Unchanged at 100","Decrease to 300","Decrease to 300","Unchanged at 400","Unchanged at 400","Unchanged at 200","Decrease to 150","Increase to 250","Unchanged at 200","Middle",NA,1,"Woman"
2,43,"Canada","30 to 44","Woman","HS or less","Pass","NDP","NDP","No college",4,5,5,3,3,5,5,5,5,4,4,5,"Offshoring",4,2,1,1,"Decreases to 450$","Decreases to 300$","Decreases to 450$","Unchanged at 600$","Increase to 125","Increase to 125","Decrease to 75","Decrease to 75","Increase to 500","Decrease to 300","Decrease to 300","Decrease to 300","Increase to 250","Decrease to 150","Unchanged at 200","Unchanged at 200","Middle",2,NA,"Woman"
2,44,"Canada","65 or older","Man","HS or less","Pass","Other","Other","No college",4,4,5,3,5,5,2,3,5,2,4,5,"Offshoring",4,4,4,4,"Decreases to 450$","Unchanged at 600$","Decreases to 300$","Decreases to 450$","Decrease to 75","Increase to 125","Decrease to 75","Increase to 125","Unchanged at 400","Decrease to 300","Increase to 500","Decrease to 300","Increase to 250","Unchanged at 200","Unchanged at 200","Unchanged at 200","Middle",11,NA,"Man"
2,45,"Canada","45 to 64","Woman","HS or less","Fail","NDP","NDP","No college",5,5,4,5,5,5,5,5,5,5,5,5,"AI",4,4,2,2,"Unchanged at 600$","Decreases to 300$","Unchanged at 600$","Unchanged at 600$","Increase to 125","Decrease to 75","Decrease to 75","Unchanged at 100","Unchanged at 400","Unchanged at 400","Increase to 500","Unchanged at 400","Increase to 250","Increase to 250","Increase to 250","Decrease to 150","Middle",2,NA,"Woman"
2,46,"Canada","45 to 64","Man","HS or less","Fail","CPC","CPC","No college",4,5,NA,3,NA,5,3,3,3,3,3,3,"AI",3,3,3,3,"Decreases to 450$","Decreases to 450$","Decreases to 450$","Unchanged at 600$","Increase to 125","Increase to 125","Decrease to 75","Unchanged at 100","Unchanged at 400","Unchanged at 400","Increase to 500","Increase to 500","Decrease to 150","Decrease to 150","Increase to 250","Decrease to 150","Middle",1,NA,"Man"
2,47,"Canada","45 to 64","Woman","HS or less","Pass","Other","Other","No college",3,5,5,3,3,3,3,3,3,3,3,3,"Offshoring",NA,NA,NA,NA,"Decreases to 300$","Unchanged at 600$","Decreases to 300$","Unchanged at 600$","Increase to 125","Increase to 125","Decrease to 75","Unchanged at 100","Increase to 500","Increase to 500","Decrease to 300","Decrease to 300","Increase to 250","Increase to 250","Unchanged at 200","Decrease to 150","Middle",1,NA,"Woman"
2,48,"Canada","45 to 64","Woman","Some college","Pass","Other","Other","No college",5,5,5,2,3,4,4,5,5,2,3,5,"Offshoring",3,3,3,3,"Decreases to 300$","Decreases to 450$","Unchanged at 600$","Unchanged at 600$","Increase to 125","Decrease to 75","Increase to 125","Unchanged at 100","Unchanged at 400","Decrease to 300","Increase to 500","Decrease to 300","Unchanged at 200","Increase to 250","Decrease to 150","Decrease to 150","Middle",3,NA,"Woman"
2,49,"Canada","65 or older","Man","HS or less","Fail","Other","Other","No college",5,4,3,4,4,NA,5,5,4,4,4,4,"AI",1,4,2,4,"Decreases to 300$","Decreases to 450$","Decreases to 450$","Decreases to 300$","Unchanged at 100","Increase to 125","Increase to 125","Decrease to 75","Decrease to 300","Unchanged at 400","Unchanged at 400","Unchanged at 400","Increase to 250","Decrease to 150","Increase to 250","Increase to 250","Middle",11,NA,"Man"
2,50,"Canada","65 or older","Man","HS or less","Pass","CPC","CPC","No college",2,2,3,4,4,3,3,2,3,4,4,3,"Offshoring",3,3,3,3,"Decreases to 450$","Decreases to 300$","Decreases to 450$","Unchanged at 600$","Decrease to 75","Unchanged at 100","Decrease to 75","Increase to 125","Increase to 500","Increase to 500","Decrease to 300","Unchanged at 400","Increase to 250","Increase to 250","Decrease to 150","Increase to 250","Low",9,NA,"Man"
2,51,"Canada","45 to 64","Man","Postgrad","Pass","Other","Other","College",2,4,2,5,5,2,2,4,2,5,5,2,"AI",4,4,3,3,"Unchanged at 600$","Unchanged at 600$","Decreases to 300$","Decreases to 300$","Unchanged at 100","Unchanged at 100","Decrease to 75","Unchanged at 100","Unchanged at 400","Increase to 500","Decrease to 300","Increase to 500","Increase to 250","Unchanged at 200","Decrease to 150","Unchanged at 200","Middle",1,NA,"Man"
2,52,"Canada","30 to 44","Woman","Some college","Fail","Other","Other","No college",5,5,5,4,3,5,5,4,5,4,4,5,"AI",2,2,2,2,"Unchanged at 600$","Decreases to 450$","Decreases to 450$","Decreases to 450$","Increase to 125","Increase to 125","Unchanged at 100","Unchanged at 100","Decrease to 300","Unchanged at 400","Unchanged at 400","Increase to 500","Decrease to 150","Unchanged at 200","Increase to 250","Decrease to 150","Middle",9,NA,"Woman"
2,53,"Canada","45 to 64","Woman","Postgrad","Fail","Other","Other","College",3,4,5,2,4,3,3,4,4,2,4,4,"Offshoring",3,3,3,3,"Unchanged at 600$","Unchanged at 600$","Unchanged at 600$","Decreases to 450$","Unchanged at 100","Unchanged at 100","Decrease to 75","Increase to 125","Unchanged at 400","Unchanged at 400","Decrease to 300","Unchanged at 400","Increase to 250","Increase to 250","Unchanged at 200","Unchanged at 200","High",11,NA,"Woman"
2,54,"Canada","65 or older","Man","College grad","Pass","NDP","NDP","College",4,5,4,1,3,5,4,5,4,1,2,4,"AI",4,4,4,4,"Decreases to 300$","Decreases to 300$","Decreases to 300$","Unchanged at 600$","Increase to 125","Unchanged at 100","Increase to 125","Decrease to 75","Unchanged at 400","Increase to 500","Increase to 500","Increase to 500","Unchanged at 200","Unchanged at 200","Unchanged at 200","Increase to 250",NA,9,NA,"Man"
1,55,"US","45 to 64","Man","Some college","Fail","Other","Other","No college",4,5,5,5,3,4,4,3,5,4,3,4,"Offshoring",4,3,NA,2,"Decreases to 300$","Unchanged at 600$","Unchanged at 600$","Decreases to 300$","Unchanged at 100","Decrease to 75","Increase to 125","Increase to 125","Unchanged at 400","Unchanged at 400","Increase to 500","Decrease to 300","Increase to 250","Increase to 250","Decrease to 150","Decrease to 150","Middle",NA,4,"Man"
1,56,"US","18 to 29","Woman","Some college","Pass","Democratic","Democratic","No college",5,5,5,4,5,2,5,5,5,1,5,4,"Offshoring",4,4,1,2,"Decreases to 450$","Decreases to 300$","Unchanged at 600$","Decreases to 450$","Increase to 125","Decrease to 75","Unchanged at 100","Increase to 125","Decrease to 300","Decrease to 300","Unchanged at 400","Increase to 500","Unchanged at 200","Decrease to 150","Unchanged at 200","Increase to 250",NA,NA,3,"Woman"
1,57,"US","30 to 44","Woman","HS or less","Fail","Other","Other","No college",3,3,3,3,3,3,3,3,3,3,3,3,"Offshoring",3,3,3,3,"Unchanged at 600$","Decreases to 300$","Decreases to 450$","Unchanged at 600$","Decrease to 75","Unchanged at 100","Increase to 125","Unchanged at 100","Unchanged at 400","Increase to 500","Decrease to 300","Decrease to 300","Decrease to 150","Increase to 250","Decrease to 150","Increase to 250","Low",NA,2,"Woman"
1,58,"US","65 or older","Woman","College grad","Pass","Republican","Republican","College",3,1,3,NA,NA,4,2,1,2,NA,3,4,"Offshoring",2,2,2,2,"Decreases to 300$","Decreases to 450$","Unchanged at 600$","Decreases to 300$","Increase to 125","Decrease to 75","Decrease to 75","Unchanged at 100","Unchanged at 400","Unchanged at 400","Increase to 500","Unchanged at 400","Increase to 250","Unchanged at 200","Increase to 250","Increase to 250","Middle",NA,1,"Woman"
1,59,"US","65 or older","Woman","HS or less","Fail","Other","Other","No college",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Offshoring",NA,NA,NA,NA,"Decreases to 300$","Unchanged at 600$","Decreases to 300$","Decreases to 450$","Decrease to 75","Unchanged at 100","Decrease to 75","Increase to 125","Increase to 500","Decrease to 300","Unchanged at 400","Unchanged at 400","Decrease to 150","Unchanged at 200","Unchanged at 200","Increase to 250","Middle",NA,4,"Woman"
